caption;link;year;km;color;price;price_unit;date;city;district
24;SAHİBİNDEN 2019 HYUNDAI ELANTRA 1.6 MPI STYLE PLUS OTOMATİK;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-sahibinden-2019-hyundai-elantra-1.6-mpi-style-plus-otomatik-874713472/detay;2019;10500;Füme;212000;TL;2020-10-29;Kırıkkale;Merkez
25;Sahibinden Tam Otomatik Vites, 2004 model Temiz, En dolu modeli;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-sahibinden-tam-otomatik-vites-2004-model-temiz-en-dolu-modeli-874705907/detay;2004;218000;Gümüş Gri;68500;TL;2020-10-29;Hatay;İskenderun
26;Hyundai Atmaş'dan Elantra Style 1.6 Benzin-Lpg Manuel;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-hyundai-atmas-dan-elantra-style-1.6-benzin-lpg-manuel-874704918/detay;2017;95000;Beyaz;165000;TL;2020-10-29;Tekirdağ;Çorlu
27;SAHIBINDEN 2017 ELANTRA DEGISENSIZ , BOYASIZ;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-sahibinden-2017-elantra-degisensiz-boyasiz-874603949/detay;2017;67000;Beyaz;179000;TL;2020-10-29;Aydın;Didim
28;SIFIR AYARINDA;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-sifir-ayarinda-870130271/detay;2012;96075;Gümüş Gri;145000;TL;2020-10-29;Muş;Merkez
29;Temiz Ve Bakımlı Araç;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-temiz-ve-bakimli-arac-874625682/detay;2004;250000;Kırmızı;55000;TL;2020-10-29;Kahramanmaraş;Dulkadiroğlu
30;SS GARAJ DAN 2004 MODEL1.6 ELANTRA;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-ss-garaj-dan-2004-model1.6-elantra-866302314/detay;2004;232500;Beyaz;53900;TL;2020-10-29;Sakarya;Erenler
31;2. Sahibinden 145 bin kmde temiz ELANTRA;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-2-sahibinden-145-bin-kmde-temiz-elantra-874612626/detay;2005;145900;Gri;80000;TL;2020-10-28;Samsun;Canik
32;otomatik elentra;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-otomatik-elentra-874611000/detay;2003;215000;Şampanya;73000;TL;2020-10-28;Ankara;Keçiören
33;Sahibinden - Hatasız - Temiz Hyundai Elantra;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-sahibinden-hatasiz-temiz-hyundai-elantra-874607789/detay;2018;25000;Beyaz;205000;TL;2020-10-28;İstanbul;Gaziosmanpaşa
34;Sahibinden bakımlı, kondisyonu düzgün orijinal km;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-sahibinden-bakimli-kondisyonu-duzgun-orijinal-km-874614484/detay;2014;238700;Beyaz;131500;TL;2020-10-28;Amasya;Gümüşhacıköy
35;İLGİ ODAĞI;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-ilgi-odagi-874607728/detay;2004;211000;Gri;75000;TL;2020-10-28;Sakarya;Ferizli
36;TEMİZ ELENTRA;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-temiz-elentra-874593839/detay;2012;85000;Beyaz;148000;TL;2020-10-28;Amasya;Suluova
37;2017 HYUNDAİ ELENTRA STYLE 1.6 BENZİNLİ 127 BEYGİR 58.000 KM DE;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-2017-hyundai-elentra-style-1.6-benzinli-127-beygir-58.000-km-de-874599152/detay;2017;58000;Beyaz;155900;TL;2020-10-28;İstanbul;Kadıköy
38;2018 HATASIZ 47 BİN SANRUFLU ELİTE PLUS;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-2018-hatasiz-47-bin-sanruflu-elite-plus-874597777/detay;2018;47000;Gümüş Gri;249900;TL;2020-10-28;Bursa;Osmangazi
39;Sahibinden tertemiz;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-sahibinden-tertemiz-874593416/detay;2016;147000;Beyaz;195000;TL;2020-10-28;Ankara;Çankaya
