caption;link;year;km;color;price;price_unit;date;city;district
28;Motoru Yürüyeni Sorunsuz tüp hiç takılmamış;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-motoru-yuruyeni-sorunsuz-tup-hic-takilmamis-874551022/detay;2005;217000;Gri;89000;TL;2020-10-28;Adana;Sarıçam
29;toyota 2004 avansis sahibinden;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-toyota-2004-avansis-sahibinden-874521263/detay;2004;176000;Gri;87500;TL;2020-10-28;İstanbul;Bağcılar
30;2003 MODEL OTOMATİK DEĞİŞENSİZ TOYOTA AVENSİS;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-2003-model-otomatik-degisensiz-toyota-avensis-874552024/detay;2003;152500;Gümüş Gri;107500;TL;2020-10-28;İstanbul;Büyükçekmece
31;Sorunsuz 2003 Avensis;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-sorunsuz-2003-avensis-874189167/detay;2003;250000;Siyah;85000;TL;2020-10-28;İstanbul;Esenyurt
32;MNZ.DEN TEMİZ AVENSİS OTOMATİK;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-mnz.den-temiz-avensis-otomatik-847044484/detay;2003;250000;Gri;67500;TL;2020-10-28;Diyarbakır;Kayapınar
33;CARBON DAN MASRAFSIZ BAKIMLI FULL+FULL TAM OTOMATİK UYGUN FİYAT.;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-carbon-dan-masrafsiz-bakimli-full-plusfull-tam-otomatik-uygun-fiyat-874478951/detay;2002;273000;Gümüş Gri;57900;TL;2020-10-28;Ankara;Akyurt
34;HATASIZA YAKIN UYGUN AVENSİS;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-hatasiza-yakin-uygun-avensis-874452313/detay;2005;215000;Lacivert;79750;TL;2020-10-28;Ankara;Etimesgut
35;2011 MODEL HATASIZ TOYOTA AVENSİS ELEGANT 104.000KMDE;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-2011-model-hatasiz-toyota-avensis-elegant-104.000kmde-874451824/detay;2011;104000;Gümüş Gri;146750;TL;2020-10-28;Kütahya;Merkez
36;Tertemiz aile arabası bakımları yeni muayne yeni;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-tertemiz-aile-arabasi-bakimlari-yeni-muayne-yeni-874422061/detay;2004;231000;Gri;87750;TL;2020-10-28;Çorum;Merkez
37;SAHİBİNDEN TOYOTA AVENSİS;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-sahibinden-toyota-avensis-862583534/detay;2008;274000;Siyah;78000;TL;2020-10-30;Konya;Ereğli
38;SAHİBİNDEN 2011 MODEL DÜŞÜK KM 1.6 132 HP AVENSİS ELEGANT EXTRA;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-sahibinden-2011-model-dusuk-km-1.6-132-hp-avensis-elegant-extra-874836683/detay;2011;59250;Beyaz;147500;TL;2020-10-30;İstanbul;Bayrampaşa
39;Sahibinden Değişensiz Tertemiz Toyota Avensis 2.0 LPGli;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-sahibinden-degisensiz-tertemiz-toyota-avensis-2.0-lpgli-874756313/detay;2004;223000;Şampanya;118500;TL;2020-10-29;Sakarya;Serdivan
40;Degisensiz, boyasız düşük km'de Avensis;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-degisensiz-boyasiz-dusuk-km-de-avensis-874823206/detay;2010;97600;Füme;145000;TL;2020-10-29;Ağrı;Patnos
41;SAHİBİNDEN 2004 DEĞİŞENSİZ AVENSİS;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-sahibinden-2004-degisensiz-avensis-874390277/detay;2004;276000;Füme;72000;TL;2020-10-27;Şanlıurfa;Haliliye
42;ÜÇEŞ AUTO SHOPTAN TOYOTA AVENSİS;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-uces-auto-shoptan-toyota-avensis-874816640/detay;2005;285000;Gümüş Gri;84900;TL;2020-10-29;Şanlıurfa;Eyyübiye
43;sanruf lu Avensis 2.0 sol extra full+full;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-sanruf-lu-avensis-2.0-sol-extra-full-plusfull-874371988/detay;2001;3e+05;Lacivert;53000;TL;2020-10-27;İstanbul;Kartal
44;satılık gemi;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-satilik-gemi-874802371/detay;2013;129000;Beyaz;172000;TL;2020-10-29;Van;Erciş
45;2004 MODEL T25 TOYOTA AVENSİS;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-2004-model-t25-toyota-avensis-874337376/detay;2004;271000;Mavi;75000;TL;2020-10-27;İstanbul;Beyoğlu
46;''RESS MOTORS'' TOYOTA AVENSİS 1.6 COMFORT+LPG+130BİN KM;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-ress-motors-toyota-avensis-1.6-comfort-pluslpg-plus130bin-km-874347048/detay;2004;130000;Gümüş Gri;85000;TL;2020-10-27;İstanbul;Bağcılar
47;Askeri personelden tertemiz avensis;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-askeri-personelden-tertemiz-avensis-874348203/detay;2010;201000;Gümüş Gri;120000;TL;2020-10-27;Sivas;Doğanşar
48;TURANLAR OTOMOTİV DEN 2014 TOYOTA AVENSİS 1.6 ELEGANT EXTRA;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-turanlar-otomotiv-den-2014-toyota-avensis-1.6-elegant-extra-864436476/detay;2014;167000;Beyaz;152500;TL;2020-10-27;Samsun;Bafra
49;hakkari merkez otluca;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-hakkari-merkez-otluca-874766282/detay;1999;288000;Beyaz;43000;TL;2020-10-29;Hakkari;Merkez
50;PARLAK OTOMOTİV DEN 2012 AVENSİS;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-parlak-otomotiv-den-2012-avensis-874332882/detay;2012;225000;Beyaz;165000;TL;2020-10-27;Ordu;Ünye
51;SAHİBİNDEN 2013 TOYOTA AVANSİS 1.6 ELEGANT EXTRA LPG Lİ 99.KM.;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-sahibinden-2013-toyota-avansis-1.6-elegant-extra-lpg-li-99.km-874734910/detay;2013;99726;Beyaz;148000;TL;2020-10-29;Eskişehir;Odunpazarı
52;2005 model toyota avensis;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-2005-model-toyota-avensis-874321957/detay;2005;227000;Gümüş Gri;68500;TL;2020-10-27;Kahramanmaraş;Elbistan
53;2011 ELEGANT EXTRA;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-2011-elegant-extra-874319662/detay;2011;179000;Beyaz;125000;TL;2020-10-27;Çorum;Osmancık
54;MÜKEMMEL TEMİZLİKTE TOYOTA AVANSİS 1.6 LPG Lİ FULL+FULL;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-mukemmel-temizlikte-toyota-avansis-1.6-lpg-li-full-plusfull-836547279/detay;2006;265000;Bej;85000;TL;2020-10-27;Isparta;Merkez
55;2010 MODEL TOYOTA AVENSIS;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-2010-model-toyota-avensis-874725340/detay;2010;84000;Gri;136000;TL;2020-10-29;Karabük;Merkez
56;Japon tankı satışta;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-japon-tanki-satista-874306383/detay;2010;167000;Beyaz;130000;TL;2020-10-27;Çorum;Merkez
57;3 SAHIBINDEN BAKIMLI;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-3-sahibinden-bakimli-874304101/detay;1999;208000;Turkuaz;56000;TL;2020-10-27;Düzce;Merkez
58;HATASIZ BOYASIZ TRAMERSİZ 1.6 132 beygir Elegant ekstra;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-hatasiz-boyasiz-tramersiz-1.6-132-beygir-elegant-ekstra-870403096/detay;2011;121000;Beyaz;139800;TL;2020-10-29;Tokat;Niksar
59;***Sadece 47000 Km'de Türkiyede Tek ***;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-sadece-47000-km-de-turkiyede-tek-874291279/detay;2004;47800;Gri;141500;TL;2020-10-27;Bitlis;Adilcevaz
60;Orjinal Satılık;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-orjinal-satilik-874286094/detay;2014;237000;Beyaz;172000;TL;2020-10-27;Sakarya;Kaynarca
61;İLK SAHİBİNDEN HATASIZ!!!;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-ilk-sahibinden-hatasiz-874679392/detay;2005;124650;Yeşil;128000;TL;2020-10-29;İzmir;Dikili
62;Temiz dosta gidecek avensis;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-temiz-dosta-gidecek-avensis-874143725/detay;2012;102000;Beyaz;157500;TL;2020-10-29;Adıyaman;Merkez
63;Tertemiz Toyota avensis;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-tertemiz-toyota-avensis-874075897/detay;2006;276000;Gümüş Gri;102250;TL;2020-10-27;Adana;Sarıçam
64;İlk sahibinden temiz Avensis;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-ilk-sahibinden-temiz-avensis-874623351/detay;2012;88000;Gümüş Gri;156000;TL;2020-10-29;Kayseri;Melikgazi
65;TOYOTA AVENSİS 1.6 ELEGANT EXTRA;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-toyota-avensis-1.6-elegant-extra-874637327/detay;2013;52000;Beyaz;172500;TL;2020-10-29;Aksaray;Merkez
66;2008 TOYOTA AVENSİS;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-2008-toyota-avensis-874192881/detay;2008;235000;Gümüş Gri;109000;TL;2020-10-27;İstanbul;Pendik
67;2001 Model Avensis;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-2001-model-avensis-874205292/detay;2001;299000;Yeşil;46500;TL;2020-10-27;Van;İpekyolu
68;temiz avensis tek parca boyalı;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-temiz-avensis-tek-parca-boyali-874204495/detay;2011;170000;Gri;132000;TL;2020-10-26;Osmaniye;Merkez
69;2.SAHİBİNDEN TEMİZ AVENSİS;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-2.sahibinden-temiz-avensis-841472214/detay;2005;245000;Kırmızı;95000;TL;2020-10-26;Ankara;Yenimahalle
70;SAHİBİNDEN PROBLEMSİZ KONFOR CANAVARI;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-sahibinden-problemsiz-konfor-canavari-874599698/detay;2005;279000;Gümüş Gri;80000;TL;2020-10-28;İstanbul;Güngören
71;2.Sahibinden Çok Temiz ve Bakımlı Toyota;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-2.sahibinden-cok-temiz-ve-bakimli-toyota-864580195/detay;2005;332000;Füme;88000;TL;2020-10-28;Hatay;Antakya
72;Japon harikası;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-japon-harikasi-874175781/detay;2010;224000;Siyah;109000;TL;2020-10-26;Amasya;Suluova
73;Avensisi bilen alır;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-avensisi-bilen-alir-874172324/detay;2005;338000;Gri;83500;TL;2020-10-26;Kahramanmaraş;Onikişubat
74;Hatasız Toyota Avensis;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-hatasiz-toyota-avensis-874589091/detay;1999;372000;Gümüş Gri;65000;TL;2020-10-28;Niğde;Merkez
75;SAHİBİNDEN 2003 MODEL LPG Lİ ORJ KM 2.0 MOTOR AVENSİS;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-sahibinden-2003-model-lpg-li-orj-km-2.0-motor-avensis-874162870/detay;2003;188000;Siyah;72500;TL;2020-10-26;Tokat;Merkez
76;KAZASIZ BOYASIZ TOYOTA AVENSİS;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-kazasiz-boyasiz-toyota-avensis-874163843/detay;2011;129600;Gri;157000;TL;2020-10-26;Denizli;Merkezefendi
77;JAPON HARİKASI SATIŞTA..;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-japon-harikasi-satista-863350973/detay;2001;270000;Lacivert;58000;TL;2020-10-26;Aydın;Didim
78;experli bakımlı;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-experli-bakimli-870940085/detay;2005;340000;Gümüş Gri;73500;TL;2020-10-28;Şanlıurfa;Ceylanpınar
