caption;link;year;km;color;price;price_unit;date;city;district;brand;model
27;1991 MODEL OTOMATİK VİTES KLİMALI 2.0 MOTOR TOYOTA CORONA;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-1991-model-otomatik-vites-klimali-2.0-motor-toyota-corona-873573676/detay;1991;223000;Yeşil;26500;TL;2020-10-23;Manisa;Alaşehir;Toyota;Corona
28;sahibinden apex gli;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-sahibinden-apex-gli-873922864/detay;1994;264000;Beyaz;47500;TL;2020-10-25;Zonguldak;Ereğli;Toyota;Corona
29;Parası olup araba yok diyenler orjinalin oğlu burda;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-parasi-olup-araba-yok-diyenler-orjinalin-oglu-burda-873495196/detay;1994;265000;Şampanya;49000;TL;2020-10-23;Adana;Çukurova;Toyota;Corona
30;temiz dost arabasi en ufak bir çürük çarık yok arabada;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-temiz-dost-arabasi-en-ufak-bir-curuk-carik-yok-arabada-873879158/detay;1991;430;Gri;21000;TL;2020-10-25;Kayseri;Pınarbaşı;Toyota;Corona
31;AMERIKAN VERSIYON TAMAMEN ORİJİNAL JAPON HARİKASI;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-amerikan-versiyon-tamamen-orijinal-japon-harikasi-873471001/detay;1991;125000;Şampanya;50000;TL;2020-10-23;İstanbul;Kağıthane;Toyota;Corona
32;satilik toyota corona 1991;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-satilik-toyota-corona-1991-874003412/detay;1991;328000;Mavi;30000;TL;2020-10-26;Van;Tuşba;Toyota;Corona
33;KAYA OTOMOTİVDEN 1991 MODEL TOYOTA CORONA;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-kaya-otomotivden-1991-model-toyota-corona-863702077/detay;1991;283000;Bordo;33500;TL;2020-10-21;İstanbul;Başakşehir;Toyota;Corona
34;TOYOTA CORANA APEX;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-toyota-corana-apex-838722290/detay;1994;316000;Siyah;42500;TL;2020-10-25;Amasya;Merkez;Toyota;Corona
35;son indirim;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-son-indirim-872907619/detay;1993;307000;Bej;27500;TL;2020-10-21;Balıkesir;Altıeylül;Toyota;Corona
36;sıfır vizeli bakımlı corona;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-sifir-vizeli-bakimli-corona-872765447/detay;1991;110;Gri;23500;TL;2020-10-21;Karaman;Ermenek;Toyota;Corona
37;Klimalı Temiz ve Bakımlı;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-klimali-temiz-ve-bakimli-873093021/detay;1998;253000;Şampanya;38750;TL;2020-10-22;Ankara;Keçiören;Toyota;Corona
38;TOYOTA CORONA 93 MODEL 2.0 GLİ;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-toyota-corona-93-model-2.0-gli-873005097/detay;1993;410000;Mor;31700;TL;2020-10-21;İstanbul;Küçükçekmece;Toyota;Corona
39;Toyota corona apex;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-toyota-corona-apex-872372889/detay;1992;496000;Mavi;37000;TL;2020-10-19;Denizli;Merkezefendi;Toyota;Corona
