caption;link;year;km;color;price;price_unit;date;city;district
24;2011 dizel yeni kasa bakımları yeni kusursuz;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-2011-dizel-yeni-kasa-bakimlari-yeni-kusursuz-845989137/detay;2011;194000;Gümüş Gri;82000;TL;2020-10-30;Antalya;Muratpaşa
25;Toyata Yaris;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-toyata-yaris-874995289/detay;2012;197000;Gümüş Gri;110000;TL;2020-10-30;Adana;Sarıçam
26;2015 YARİS FUN SPECİAL MULTİDRİVE S BOYASIZ HATASIZ;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-2015-yaris-fun-special-multidrive-s-boyasiz-hatasiz-874999171/detay;2015;56400;Beyaz;154750;TL;2020-10-30;Osmaniye;Merkez
27;2008 MODEL 1.0 YARIS TERRA TAKAS OLUR;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-2008-model-1.0-yaris-terra-takas-olur-874995564/detay;2008;156000;Kırmızı;68750;TL;2020-10-30;İzmir;Buca
28;İLK SAHİBİNDEN,D­EĞİŞENSİZ,F1 VİTES, OTOMATİK VİTES TOYOTA YARİS;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-ilk-sahibinden%2Cdegisensiz%2Cf1-vites-otomatik-vites-toyota-yaris-867032173/detay;2011;176000;Gümüş Gri;105000;TL;2020-10-30;Konya;Karatay
29;Öğretmenden Temiz Düşük Km Yaris;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-ogretmenden-temiz-dusuk-km-yaris-874985139/detay;2004;154100;Gümüş Gri;75000;TL;2020-10-30;İstanbul;Esenyurt
30;yaris 2006 model 99000 km;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-yaris-2006-model-99000-km-848693967/detay;2006;99000;Gümüş Gri;75000;TL;2020-10-30;Amasya;Merzifon
31;2014 TOYOTA YARİS 1.4 4D DİZEL;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-2014-toyota-yaris-1.4-4d-dizel-874981859/detay;2014;255000;Beyaz;98500;TL;2020-10-30;Konya;Karatay
32;ZEKİDEMİR AUTO'DAN 2013 TOYOTA YARİS 1.33 OTOMATİK FIRSAT ARACI;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-zekidemir-auto-dan-2013-toyota-yaris-1.33-otomatik-firsat-araci-874982549/detay;2013;112000;Gümüş Gri;125900;TL;2020-10-30;Şanlıurfa;Haliliye
33;FUL BAKIMLI VİZE YENI 2006 MODEL;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-ful-bakimli-vize-yeni-2006-model-874979747/detay;2006;230000;Gri;69750;TL;2020-10-30;Trabzon;Of
34;X CHANGE BY TOYOTA SONKAR YARİS 1.33 STYLE RED SKY MDS;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-x-change-by-toyota-sonkar-yaris-1.33-style-red-sky-mds-874976775/detay;2014;48718;Siyah;152500;TL;2020-10-30;İstanbul;Bahçelievler
35;Arda Ticaret'ten 2011 Toyota Yaris 1.33 Terra Sporty 101 hp;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-arda-ticaret-ten-2011-toyota-yaris-1.33-terra-sporty-101-hp-874968464/detay;2011;184429;Beyaz;86750;TL;2020-10-30;Bursa;Nilüfer
36;AUTOTEK:DEN 2013 YARİS OTOMATİK VİTES 73 BİNDE;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-autotek-den-2013-yaris-otomatik-vites-73-binde-874957769/detay;2013;73000;Kırmızı;132750;TL;2020-10-30;İstanbul;Bağcılar
37;2018 TOYOTA YARİS 1.5 FUN SPECİAL F1 OTOMATİK EKRAN GERİ GÖRÜŞ;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-2018-toyota-yaris-1.5-fun-special-f1-otomatik-ekran-geri-gorus-874939573/detay;2018;26100;Beyaz;171950;TL;2020-10-30;İstanbul;Bağcılar
38;ŞAHİN OTODAN 2005 TOYOTA YARİS 1.0 - OTOMATİK VİTES;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-sahin-otodan-2005-toyota-yaris-1.0-otomatik-vites-855135430/detay;2005;212000;Gümüş Gri;66500;TL;2020-10-30;Düzce;Merkez
39;MEHMET SARI MOTORS'DAN ÇOK TEMİZ TOYOTA YARİS;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-mehmet-sari-motors-dan-cok-temiz-toyota-yaris-874920435/detay;2007;177000;Gümüş Gri;67000;TL;2020-10-30;Antalya;Kepez
40;2007 TOYOTA YARİS 1.0 TERRA BOYASIZ DEĞİŞENSİZ !!!;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-2007-toyota-yaris-1.0-terra-boyasiz-degisensiz-874900191/detay;2007;135000;Beyaz;82900;TL;2020-10-30;Balıkesir;Altıeylül
41;_ERTEMEL AUTOPIA_BOYASIZ_HA­TASIZ_(..Hybrid..)_­Otomatik_EMSALSİZ_;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-ertemel-autopia_boyasiz_hatasiz-..hybrid-_otomatik_emsalsiz-871306668/detay;2016;71000;Beyaz;165900;TL;2020-10-30;İstanbul;Esenyurt
42;ÖZÖN OTOMOTİV YETKİLİ BAYİİ'DEN YARİS 1.33 STYLE MULTİDRİVE S;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-ozon-otomotiv-yetkili-bayii-den-yaris-1.33-style-multidrive-s-874907998/detay;2012;61900;Kırmızı;139750;TL;2020-10-30;Samsun;Canik
43;HATASIZ BOYASIZ 95 BİN KM DE;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-hatasiz-boyasiz-95-bin-km-de-874904155/detay;2011;95000;Beyaz;108750;TL;2020-10-30;Bilecik;Merkez
44;SAHİBİNDEN, ORİJİNAL, HATASIZ,136.00­0KM'DE,KLİMALI TOYOTA YARİS;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-sahibinden-orijinal-hatasiz%2C136.000km-de%2Cklimali-toyota-yaris-870796498/detay;2006;136000;Gümüş Gri;74500;TL;2020-10-30;Ankara;Çankaya
45;sahibinden satılık;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-sahibinden-satilik-874804738/detay;2012;120400;Beyaz;126500;TL;2020-10-30;Muğla;Menteşe
46;2007 MODEL 1.3 SOL TOYOTA YARİS START&STOP lu;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-2007-model-1.3-sol-toyota-yaris-start-stop-lu-874893092/detay;2007;124000;Gümüş Gri;78500;TL;2020-10-30;Mersin;Tarsus
47;Düşük km temiz;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-dusuk-km-temiz-839232901/detay;2011;113000;Siyah;96750;TL;2020-10-30;İstanbul;Esenler
