caption;link;year;km;color;price;price_unit;date;city;district;brand;model
1;GARAGE 2014 ROLLS ROYCE GHOST 200 EX HEAD UP-MULTIMEDIA-BAYİ;https://www.sahibinden.com/ilan/vasita-otomobil-rolls-royce-garage-2014-rolls-royce-ghost-200-ex-head-up-multimedia-bayi-739603132/detay;2014;13587;Siyah;4650000;TL;2020-10-24;İstanbul;Beykoz;Rolls-Royce;Ghost
2;YENİKÖY MOTORS 2011 ROLLS ROYCE GHOST - HEAD UP -MULTIMEDIA-BAYİ;https://www.sahibinden.com/ilan/vasita-otomobil-rolls-royce-yenikoy-motors-2011-rolls-royce-ghost-head-up-multimedia-bayi-562614448/detay;2011;129141;Gri;3250000;TL;2020-10-17;İstanbul;Sarıyer;Rolls-Royce;Ghost
3;PRESTİJ PLAZA...2015 ROLLS-ROYCE GHOST 6.6 6300 KM BAYİ ÇIKIŞLI;https://www.sahibinden.com/ilan/vasita-otomobil-rolls-royce-prestij-plaza...2015-rolls-royce-ghost-6.6-6300-km-bayi-cikisli-769949586/detay;2015;6300;Siyah;4600000;TL;2020-10-14;İstanbul;Ataşehir;Rolls-Royce;Ghost
4;PREMİUM MOTORS-ROLLS-ROYCE GHOST 2012 BAYİ ÇIKIŞLI;https://www.sahibinden.com/ilan/vasita-otomobil-rolls-royce-premium-motors-rolls-royce-ghost-2012-bayi-cikisli-752458082/detay;2012;26000;Siyah;3650000;TL;2020-10-09;İstanbul;Beşiktaş;Rolls-Royce;Ghost
5;VİTRİN 2015 ROLLS-ROYCE GHOST -BAYİİ-;https://www.sahibinden.com/ilan/vasita-otomobil-rolls-royce-vitrin-2015-rolls-royce-ghost-bayii-708577384/detay;2015;7600;Beyaz;5450000;TL;2020-10-10;İstanbul;Bakırköy;Rolls-Royce;Ghost
6;-AKGÜN-ROLLS ROYCE GHOST BAYİ-BOYASIZ-;https://www.sahibinden.com/ilan/vasita-otomobil-rolls-royce-akgun-rolls-royce-ghost-bayi-boyasiz-797025713/detay;2014;15000;Füme;4650000;TL;2020-10-07;Ankara;Çankaya;Rolls-Royce;Ghost
7;SS MOTORS 2011 ROLLS ROYCE GHOST-HEAD UP-MULTIMEDIA -10950KM-BAYİ;https://www.sahibinden.com/ilan/vasita-otomobil-rolls-royce-ss-motors-2011-rolls-royce-ghost-head-up-multimedia-10950km-bayi-839027116/detay;2011;10950;Siyah;3700000;TL;2020-10-05;İstanbul;Şişli;Rolls-Royce;Ghost
8;SS MOTORS 2014 ROLLS ROYCE GHOST-HEAD UP-MULTIMEDIA -SOĞUTMA-BAYİ;https://www.sahibinden.com/ilan/vasita-otomobil-rolls-royce-ss-motors-2014-rolls-royce-ghost-head-up-multimedia-sogutma-bayi-514179131/detay;2014;32167;Gri;3900000;TL;2020-10-05;İstanbul;Şişli;Rolls-Royce;Ghost
