caption;link;year;km;color;price;price_unit;date;city;district;brand;model
25;HYUNDAİ ACCENT ADMİRE 1.5 CRDİ 190.ooo KMDE ORJ KM;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-hyundai-accent-admire-1.5-crdi-190.ooo-kmde-orj-km-867701841/detay;2003;190000;Yeşil;42750;TL;2020-11-02;İstanbul;Küçükçekmece;Hyundai;Accent
26;ERKAN GALERİDE 2003 model 1.3. Lpgli klimalı hatasız Admira;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-erkan-galeride-2003-model-1.3-lpgli-klimali-hatasiz-admira-870955041/detay;2003;250000;Beyaz;52500;TL;2020-11-02;Çanakkale;Yenice;Hyundai;Accent
27;SAHİBİNDEN BAKIMLI EXPERTİZ RAPORLU;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-sahibinden-bakimli-expertiz-raporlu-875481389/detay;2001;202000;Beyaz;51000;TL;2020-11-02;Kırıkkale;Merkez;Hyundai;Accent
28;Sanki sene 98;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-sanki-sene-98-820500852/detay;1998;270;Mavi;38000;TL;2020-11-02;Ankara;Kahramankazan;Hyundai;Accent
29;İLK ELDEN ÇOK TEMİZ 1.6 BENZİNLİ;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-ilk-elden-cok-temiz-1.6-benzinli-875476630/detay;2006;211000;Beyaz;64900;TL;2020-11-02;Diyarbakır;Yenişehir;Hyundai;Accent
30;LX KLM AC FULL;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-lx-klm-ac-full-875410642/detay;1999;207000;Beyaz;41000;TL;2020-11-02;Mersin;Tarsus;Hyundai;Accent
31;hyundai accent;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-hyundai-accent-875394269/detay;2005;220000;Gri;46000;TL;2020-11-02;Antalya;Elmalı;Hyundai;Accent
32;Acil bedelli nedeniyle satışta;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-acil-bedelli-nedeniyle-satista-875430228/detay;1999;125000;Beyaz;40000;TL;2020-11-02;İstanbul;Sarıyer;Hyundai;Accent
33;2005 Hyundai Admire Hatasız;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-2005-hyundai-admire-hatasiz-875424337/detay;2005;233000;Beyaz;54750;TL;2020-11-02;Bursa;Nilüfer;Hyundai;Accent
34;tertemiz admire;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-tertemiz-admire-875423256/detay;2006;204000;Beyaz;53750;TL;2020-11-02;İstanbul;Başakşehir;Hyundai;Accent
35;KLİMALI TEMİZ AİLE ARACI;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-klimali-temiz-aile-araci-875413981/detay;1997;262000;Mavi;35000;TL;2020-11-02;Ankara;Altındağ;Hyundai;Accent
36;Değişensiz Aile Aracı;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-degisensiz-aile-araci-875409728/detay;2004;206000;Beyaz;66000;TL;2020-11-02;Nevşehir;Merkez;Hyundai;Accent
37;Aracımız çok temiz ve bakımlıdır;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-aracimiz-cok-temiz-ve-bakimlidir-875409577/detay;2000;290000;Yeşil;33250;TL;2020-11-02;Gaziantep;Şehitkamil;Hyundai;Accent
38;FM AUTODAN-KLİMALI-LPG­Lİ-DEĞİŞENSİZ-YENİ TRİGER BAKIMLI-ACCENT;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-fm-autodan-klimali-lpgli-degisensiz-yeni-triger-bakimli-accent-875440812/detay;2000;240000;Gümüş Gri;46500;TL;2020-11-02;Tekirdağ;Çorlu;Hyundai;Accent
39;Memurdan temiz Hundai Accent/ilk sahibinden;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-memurdan-temiz-hundai-accent-ilk-sahibinden-875394475/detay;2003;236000;Gri;53000;TL;2020-11-02;İzmir;Torbalı;Hyundai;Accent
40;Sahibinden aile arabası;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-sahibinden-aile-arabasi-875403626/detay;2001;368000;Beyaz;44990;TL;2020-11-02;İstanbul;Pendik;Hyundai;Accent
41;143.000 KMde GARAJ ARACI;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-143.000-kmde-garaj-araci-875319039/detay;2005;143500;Mavi;63500;TL;2020-11-02;Bursa;Osmangazi;Hyundai;Accent
42;2001 hundai accent;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-2001-hundai-accent-875397534/detay;2001;272000;Gümüş Gri;56000;TL;2020-11-01;Kocaeli;İzmit;Hyundai;Accent
43;mühendisten temiz araç;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-muhendisten-temiz-arac-875315908/detay;2006;225453;Gri;51750;TL;2020-11-01;İstanbul;Esenyurt;Hyundai;Accent
44;temiz accent sıkıntısız;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-temiz-accent-sikintisiz-875206315/detay;1997;260000;Mavi;28950;TL;2020-11-01;Mersin;Yenişehir;Hyundai;Accent
45;GÖZDE OTODAN 1.3 LPGli ADMİRE;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-gozde-otodan-1.3-lpgli-admire-875415138/detay;2006;186000;Beyaz;58500;TL;2020-11-01;Edirne;Uzunköprü;Hyundai;Accent
46;2006HATASIZ HYUNDAİ ACCENT ADMİRA;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-2006hatasiz-hyundai-accent-admira-875401863/detay;2006;274000;Gümüş Gri;50750;TL;2020-11-01;Tekirdağ;Malkara;Hyundai;Accent
47;2006 ACCENT 1.6 ADMİRE. DEĞİŞENİ YOK. BİR KAÇ PARÇA BOYALI. LPG.;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-2006-accent-1.6-admire-degiseni-yok-bir-kac-parca-boyali-lpg-873600831/detay;2006;192000;Beyaz;69750;TL;2020-11-01;Ankara;Keçiören;Hyundai;Accent
48;*BALLILAR* 2001 MODEL HYUNDAİ ACCENT 1.3 LX KLİMALI BENZİN+LPG;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-ballilar-2001-model-hyundai-accent-1.3-lx-klimali-benzin-pluslpg-875394414/detay;2001;246000;Mavi;46750;TL;2020-11-01;Mersin;Erdemli;Hyundai;Accent
49;ORJİNAL 204 BİNDE;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-orjinal-204-binde-875286216/detay;2004;204000;Gümüş Gri;44000;TL;2020-11-01;Afyonkarahisar;Merkez;Hyundai;Accent
50;Hyundai accent 2002 1.5 GLS klimalı;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-hyundai-accent-2002-1.5-gls-klimali-875384056/detay;2002;340000;Şampanya;44500;TL;2020-11-01;Mersin;Tarsus;Hyundai;Accent
51;Satılık tertemiz otomatik accent;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-satilik-tertemiz-otomatik-accent-875383690/detay;2005;165000;Mavi;51000;TL;2020-11-01;Ankara;Keçiören;Hyundai;Accent
52;HYUNDAİ ACCENT 1.6 ADMİRE HATASİZ KLİMALI;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-hyundai-accent-1.6-admire-hatasiz-klimali-875373430/detay;2004;285000;Beyaz;66500;TL;2020-11-01;Osmaniye;Merkez;Hyundai;Accent
53;2005 MODEL HYUNDAİ ACCENT 1.5 DİZEL ADMİRE;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-2005-model-hyundai-accent-1.5-dizel-admire-856396765/detay;2005;253800;Beyaz;44500;TL;2020-11-01;İstanbul;Maltepe;Hyundai;Accent
54;masrafsız arac;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-masrafsiz-arac-875352217/detay;2001;122000;Gri;61500;TL;2020-11-01;Bursa;Nilüfer;Hyundai;Accent
55;temiz hyundai accent;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-temiz-hyundai-accent-875351351/detay;1999;230000;Lacivert;50000;TL;2020-11-01;Bolu;Mengen;Hyundai;Accent
56;GÖRÜLMEYE DEĞER;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-gorulmeye-deger-875351066/detay;2006;268000;Beyaz;66000;TL;2020-11-01;Antalya;Kemer;Hyundai;Accent
57;beyaz prenses 161 binde;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-beyaz-prenses-161-binde-875015295/detay;1999;161300;Beyaz;35000;TL;2020-11-01;Bursa;Yıldırım;Hyundai;Accent
58;MİLENYUM PARASINA 2003 ADMİRA;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-milenyum-parasina-2003-admira-837737592/detay;2003;2e+05;Gümüş Gri;59750;TL;2020-11-01;Kayseri;Kocasinan;Hyundai;Accent
59;Temiz aile arabası(öğretmenden);https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-temiz-aile-arabasi-ogretmenden-875340811/detay;2000;205000;Bordo;42000;TL;2020-11-01;İstanbul;Pendik;Hyundai;Accent
60;-2004 HYUNDAİ ACCENT ADMİRE 1.5 DİZEL;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-2004-hyundai-accent-admire-1.5-dizel-865909298/detay;2004;227000;Gümüş Gri;43900;TL;2020-11-01;İstanbul;Bakırköy;Hyundai;Accent
61;#TEMIZ AILE ARACI ISYENLERE#;https://www.sahibinden.com/ilan/vasita-otomobil-hyundai-temiz-aile-araci-isyenlere-875240019/detay;2005;192000;Gümüş Gri;69250;TL;2020-11-01;İzmir;Karabağlar;Hyundai;Accent
