caption;link;year;km;color;price;price_unit;date;city;district;brand;model
24;Masrafsız, Sorunsuz, Dopdolu 1.8 Lancer;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-masrafsiz-sorunsuz-dopdolu-1.8-lancer-874859739/detay;2011;140000;Siyah;133000;TL;2020-10-30;İstanbul;Sultanbeyli;Mitsubishi;Lancer
25;Dosta gider;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-dosta-gider-830429551/detay;2010;195000;Bordo;102500;TL;2020-10-30;Samsun;Bafra;Mitsubishi;Lancer
26;SAHİBİNDEN FULL PLUS 2006 LANCER;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-sahibinden-full-plus-2006-lancer-860116248/detay;2006;176000;Füme;69000;TL;2020-10-27;İstanbul;Esenyurt;Mitsubishi;Lancer
27;AİR'Lİ EVOLUTİON X;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-air-li-evolution-x-874368786/detay;2011;199000;Kırmızı;128900;TL;2020-10-27;Adana;Seyhan;Mitsubishi;Lancer
28;ASKERİ PERSONELDEN FULL BAKIMLI VE TEMİZ;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-askeri-personelden-full-bakimli-ve-temiz-874801441/detay;2005;230000;Beyaz;71250;TL;2020-10-29;Tokat;Turhal;Mitsubishi;Lancer
29;LANCER EVOLUTION GÖRÜNÜMLÜ 2010-294 BİNDE OTOMATİK;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-lancer-evolution-gorunumlu-2010-294-binde-otomatik-874363502/detay;2010;294000;Siyah;92500;TL;2020-10-27;Düzce;Merkez;Mitsubishi;Lancer
30;ORJİNAL LANCER 2009;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-orjinal-lancer-2009-874800067/detay;2009;281000;Siyah;86000;TL;2020-10-29;İstanbul;Kadıköy;Mitsubishi;Lancer
31;2006 MODEL COMFORT PAKET OTOMATİK LANCER;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-2006-model-comfort-paket-otomatik-lancer-874359143/detay;2006;258000;Gümüş Gri;80500;TL;2020-10-27;İstanbul;Ümraniye;Mitsubishi;Lancer
32;2005-Mitsubishi Lancer-1.6 OTOMATİK;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-2005-mitsubishi-lancer-1.6-otomatik-874292551/detay;2005;281000;Füme;63750;TL;2020-10-27;Kocaeli;Körfez;Mitsubishi;Lancer
33;Evo görünümlü lancer...;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-evo-gorunumlu-lancer-874671551/detay;2011;188000;Beyaz;120000;TL;2020-10-29;Van;Çatak;Mitsubishi;Lancer
34;2010 MODEL MITSUBISI LANCER 1.5 LPGLİ INVITE 185000 KM İSTEYEN;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-2010-model-mitsubisi-lancer-1.5-lpgli-invite-185000-km-isteyen-854638552/detay;2010;186000;Beyaz;105750;TL;2020-10-29;Denizli;Merkezefendi;Mitsubishi;Lancer
35;2011 LANCER İNVİTE KÖPEK BALIĞI KASA;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-2011-lancer-invite-kopek-baligi-kasa-874182501/detay;2011;304000;Gümüş Gri;89500;TL;2020-10-26;İstanbul;Sultangazi;Mitsubishi;Lancer
36;GÖRMEDEN KARAR VERME;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-gormeden-karar-verme-874387285/detay;2010;3e+05;Kırmızı;75999;TL;2020-10-28;Gaziantep;Şahinbey;Mitsubishi;Lancer
37;Bakımı düşük km lancer.;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-bakimi-dusuk-km-lancer-874165375/detay;2010;151111;Gri;110000;TL;2020-10-26;Konya;Selçuklu;Mitsubishi;Lancer
38;UCUZ OTOMATİK ARAÇ ARAYANLARA ÖZEL 2006 MİTSUBİSHİ LANCER 1.6;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-ucuz-otomatik-arac-arayanlara-ozel-2006-mitsubishi-lancer-1.6-874141351/detay;2006;218000;Kırmızı;61900;TL;2020-10-26;Adana;Seyhan;Mitsubishi;Lancer
39;1.5 parca boyalı lancer;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-1.5-parca-boyali-lancer-874542007/detay;2009;243000;Kırmızı;102500;TL;2020-10-28;Trabzon;Vakfıkebir;Mitsubishi;Lancer
40;Evo görünümlü kara şimşek SON FİYAT!!;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-evo-gorunumlu-kara-simsek-son-fiyat-874503837/detay;2009;256000;Siyah;91500;TL;2020-10-28;Diyarbakır;Kayapınar;Mitsubishi;Lancer
41;MITSUBISHI LANCER;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-mitsubishi-lancer-873937109/detay;2010;173000;Beyaz;110000;TL;2020-10-26;İstanbul;Arnavutköy;Mitsubishi;Lancer
42;memurdan klimalı 2022 muaneli temiz 90 model 1.5 Lancer;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-memurdan-klimali-2022-muaneli-temiz-90-model-1.5-lancer-873935092/detay;1990;430000;Lacivert;32500;TL;2020-10-26;Kocaeli;Gölcük;Mitsubishi;Lancer
43;KUSURSUZ ARABA;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-kusursuz-araba-874912555/detay;2015;25000;Gümüş Gri;170000;TL;2020-10-30;İstanbul;Kağıthane;Mitsubishi;Lancer
44;Mitsubishi Lancer / 2006 Model / Otomatik Vites / 149.000 KM;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-mitsubishi-lancer-2006-model-otomatik-vites-149.000-km-874451581/detay;2006;149000;Kırmızı;87000;TL;2020-10-28;Kocaeli;Gebze;Mitsubishi;Lancer
45;İKİNCİ SAHİBİNDEN BOYASIZ DÜŞÜK KM AİLE ARABASI;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-ikinci-sahibinden-boyasiz-dusuk-km-aile-arabasi-874423917/detay;2006;160000;Gümüş Gri;80000;TL;2020-10-28;Kocaeli;Kandıra;Mitsubishi;Lancer
46;Mitsubishi Lancer Sportback 1.6 Invite;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-mitsubishi-lancer-sportback-1.6-invite-874200861/detay;2011;335000;Kırmızı;125000;TL;2020-10-27;Denizli;Merkezefendi;Mitsubishi;Lancer
47;acil satılık temiz araba;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-acil-satilik-temiz-araba-873959085/detay;2007;230000;Siyah;72000;TL;2020-10-25;İstanbul;Kartal;Mitsubishi;Lancer
48;ASPEKTEN MİTSUİSHİ LANCER 1.5 İNVİTE SAM OTOMATİK BENZİN LPG;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-aspekten-mitsuishi-lancer-1.5-invite-sam-otomatik-benzin-lpg-873934292/detay;2011;192500;Gümüş Gri;77500;TL;2020-10-25;İstanbul;Bahçelievler;Mitsubishi;Lancer
49;MITSUBISHI LANCER 1.5 LPG 2009 MODEL;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-mitsubishi-lancer-1.5-lpg-2009-model-870148724/detay;2009;196000;Kırmızı;92000;TL;2020-10-25;Denizli;Merkezefendi;Mitsubishi;Lancer
50;Temiz otomatik;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-temiz-otomatik-831919499/detay;2004;220000;Füme;64500;TL;2020-10-25;İzmir;Torbalı;Mitsubishi;Lancer
51;MITSUBISHI LANCER COMFORT 1.6 2006;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-mitsubishi-lancer-comfort-1.6-2006-874283284/detay;2006;158694;Siyah;85500;TL;2020-10-27;Bursa;Nilüfer;Mitsubishi;Lancer
52;değişensiz temiz arayana kaçmaz fırsat;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-degisensiz-temiz-arayana-kacmaz-firsat-874281105/detay;2009;196000;Kırmızı;96000;TL;2020-10-27;İstanbul;Eyüpsultan;Mitsubishi;Lancer
53;SPORTBACK BAKIMLI TEMIZ;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-sportback-bakimli-temiz-873875405/detay;2011;149999;Beyaz;132000;TL;2020-10-25;Niğde;Merkez;Mitsubishi;Lancer
54;Askeri personelden 93.000 kmde hazır yapılı 1.6 İnvite LANCER...;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-askeri-personelden-93.000-kmde-hazir-yapili-1.6-invite-lancer-874279287/detay;2013;93000;Beyaz;153000;TL;2020-10-27;Amasya;Merzifon;Mitsubishi;Lancer
55;SAHİBİNDEN-DE ĞİŞENSİZ-FULL MODİFİYE LANCER-2010-162K km;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-sahibinden-degisensiz-full-modifiye-lancer-2010-162k-km-874212403/detay;2010;162000;Beyaz;119000;TL;2020-10-27;İstanbul;Ümraniye;Mitsubishi;Lancer
56;2011 Euro 5 Motor 1.8 Lancer;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-2011-euro-5-motor-1.8-lancer-874194543/detay;2011;246000;Siyah;135000;TL;2020-10-27;Isparta;Merkez;Mitsubishi;Lancer
57;Klimalı avrupa arayana;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-klimali-avrupa-arayana-874186085/detay;1990;292500;Beyaz;31500;TL;2020-10-26;Adana;Çukurova;Mitsubishi;Lancer
58;Model yükselteceğim için satıyorum aracım bakımlı eksizksiz full;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-model-yukseltecegim-icin-satiyorum-aracim-bakimli-eksizksiz-full-860229012/detay;2010;380000;Bej;75000;TL;2020-10-26;Osmaniye;Merkez;Mitsubishi;Lancer
59;2011 OTAMATİK KAZA YOK TRAMER YOK FUL ORJİNAL 130000 FUL PAKET;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-2011-otamatik-kaza-yok-tramer-yok-ful-orjinal-130000-ful-paket-873802224/detay;2011;129400;Siyah;132000;TL;2020-10-24;Muğla;Dalaman;Mitsubishi;Lancer
60;EVO YAVRUSU SATIŞTA;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-evo-yavrusu-satista-873782375/detay;2010;130000;Beyaz;125000;TL;2020-10-24;İstanbul;Maltepe;Mitsubishi;Lancer
61;Japon harikası;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-japon-harikasi-873778358/detay;2008;162000;Siyah;115000;TL;2020-10-24;Ankara;Pursaklar;Mitsubishi;Lancer
62;MEMURDAN TEMİZ MITSUBISHI LANCER;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-memurdan-temiz-mitsubishi-lancer-874168838/detay;2009;83000;Kırmızı;110000;TL;2020-10-26;Artvin;Merkez;Mitsubishi;Lancer
63;SATILIK MITSUBISHI LANCER;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-satilik-mitsubishi-lancer-873532875/detay;2011;119000;Gri;95000;TL;2020-10-24;Ankara;Etimesgut;Mitsubishi;Lancer
64;2007 Mitsubishi Lancer 1.6 Invite {Otomatik} Orjinal 108.000 Km.;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-2007-mitsubishi-lancer-1.6-invite-otomatik-orjinal-108.000-km-874141915/detay;2007;108000;Gri;87000;TL;2020-10-26;İstanbul;Bağcılar;Mitsubishi;Lancer
65;Sahibinden temiz;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-sahibinden-temiz-874126614/detay;2009;180000;Siyah;108000;TL;2020-10-26;Antalya;Kepez;Mitsubishi;Lancer
66;Sahibinden Satılık 2013 Model Mitsubishi Lancer 1.6 Invite AT;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-sahibinden-satilik-2013-model-mitsubishi-lancer-1.6-invite-at-874118034/detay;2013;41000;Gri;170000;TL;2020-10-26;Muğla;Fethiye;Mitsubishi;Lancer
67;mitsubishi lancer invite;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-mitsubishi-lancer-invite-824966141/detay;2004;256000;Beyaz;55000;TL;2020-10-24;Samsun;Tekkeköy;Mitsubishi;Lancer
68;ORJİNAL DEĞİŞENSİZ BAKIMLI;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-orjinal-degisensiz-bakimli-867410215/detay;2009;190000;Siyah;94900;TL;2020-10-24;Sakarya;Serdivan;Mitsubishi;Lancer
69;mitsubishi lancer;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-mitsubishi-lancer-874083726/detay;2006;302000;Füme;73000;TL;2020-10-26;Antalya;Alanya;Mitsubishi;Lancer
70;orjinal lancer;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-orjinal-lancer-870945948/detay;2011;190000;Beyaz;115000;TL;2020-10-24;İzmir;Selçuk;Mitsubishi;Lancer
71;2013 MODEL MİTSUBİSHİ LANCER 1.6 LPG'Lİ 117 BG 57.000 KM'DE;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-2013-model-mitsubishi-lancer-1.6-lpg-li-117-bg-57.000-km-de-874050960/detay;2013;57000;Beyaz;158750;TL;2020-10-26;Ankara;Keçiören;Mitsubishi;Lancer
72;ACİLLL 2010 MITSUBİSH LANCER 1.5 İNFORM,155.000km DEĞİŞEN YOK;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-acilll-2010-mitsubish-lancer-1.5-inform%2C155.000km-degisen-yok-873671720/detay;2010;155000;Kahverengi;95500;TL;2020-10-24;İstanbul;Bağcılar;Mitsubishi;Lancer
73;Mitsubishi lancer 2008;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-mitsubishi-lancer-2008-874439289/detay;2008;165000;Gri;77000;TL;2020-10-28;İstanbul;Esenyurt;Mitsubishi;Lancer
74;2009 TAM OTOMATİK DÜŞÜK KM Lİ MÜKEMMEL KÖPEK BALIĞI;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-2009-tam-otomatik-dusuk-km-li-mukemmel-kopek-baligi-873615417/detay;2009;99000;Siyah;112950;TL;2020-10-23;İstanbul;Kartal;Mitsubishi;Lancer
75;2009 1,8 mitsubishi lancer köpek balığı siyah;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-2009-1%2C8-mitsubishi-lancer-kopek-baligi-siyah-873968734/detay;2009;229000;Siyah;145000;TL;2020-10-25;Ankara;Etimesgut;Mitsubishi;Lancer
76;Değişensiz Tramersiz Hatasız Düşük Km Lancer;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-degisensiz-tramersiz-hatasiz-dusuk-km-lancer-873960025/detay;2011;134000;Siyah;117500;TL;2020-10-25;Ankara;Keçiören;Mitsubishi;Lancer
77;ANKARA 2.EL'DEN MİTSUBİSHİ LANCER 1.5 İNVİTE TAM OTOMATİK VİTES;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-ankara-2.el-den-mitsubishi-lancer-1.5-invite-tam-otomatik-vites-844269497/detay;2008;220000;Bordo;88950;TL;2020-10-23;Ankara;Akyurt;Mitsubishi;Lancer
78;Yeni SAHİBİNE HAYIRLI olsun 2015 LPG Lİ HATASIZ 106BİN KM;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-yeni-sahibine-hayirli-olsun-2015-lpg-li-hatasiz-106bin-km-873963578/detay;2015;106000;Gümüş Gri;159000;TL;2020-10-25;İstanbul;Sancaktepe;Mitsubishi;Lancer
79;Mitsubishi / Lancer;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-mitsubishi-lancer-873946074/detay;2009;206533;Siyah;93000;TL;2020-10-25;İstanbul;Kartal;Mitsubishi;Lancer
80;efsaneler ölmez satılır;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-efsaneler-olmez-satilir-874355577/detay;2006;219000;Mor;60000;TL;2020-10-27;Tekirdağ;Çerkezköy;Mitsubishi;Lancer
81;TEMİZ LANCER;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-temiz-lancer-873925786/detay;2004;151000;Füme;66000;TL;2020-10-25;İstanbul;Üsküdar;Mitsubishi;Lancer
82;2004+OTOMOTİK VİTES+EMSALSİZ TEMİZLİKTE+ÇEKİ DEMİRLİ-KLİMA-ABS;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-2004-plusotomotik-vites-plusemsalsiz-temizlikte-plusceki-demirli-klima-abs-873546836/detay;2004;272000;Füme;75000;TL;2020-10-23;Adana;Seyhan;Mitsubishi;Lancer
83;SAHİBİNDEN EVCİL KÖPEK BALIĞI;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-sahibinden-evcil-kopek-baligi-835132600/detay;2013;110000;Gri;143750;TL;2020-10-23;Kırşehir;Merkez;Mitsubishi;Lancer
84;sahibinden orijinal lancer;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-sahibinden-orijinal-lancer-863820678/detay;2006;253000;Gümüş Gri;72500;TL;2020-10-23;İstanbul;Bahçelievler;Mitsubishi;Lancer
85;Sahibinden 2009 Lancer;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-sahibinden-2009-lancer-873493795/detay;2009;199000;Beyaz;95000;TL;2020-10-23;Adana;Seyhan;Mitsubishi;Lancer
86;MASRAFSIZ 2006 LANCER.;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-masrafsiz-2006-lancer-873488001/detay;2006;235000;Lacivert;51900;TL;2020-10-23;Konya;Ereğli;Mitsubishi;Lancer
87;kilometre düşük uygun fiyat;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-kilometre-dusuk-uygun-fiyat-861115291/detay;2011;130000;Gri;99000;TL;2020-10-23;İstanbul;Avcılar;Mitsubishi;Lancer
88;Sahibinden 167bin de otomatik;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-sahibinden-167bin-de-otomatik-873381740/detay;2005;167000;Füme;74400;TL;2020-10-23;Kocaeli;Gebze;Mitsubishi;Lancer
89;Kurulu Dizili Köpek Balığı;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-kurulu-dizili-kopek-baligi-873462675/detay;2004;230000;Gümüş Gri;67500;TL;2020-10-23;Kocaeli;Başiskele;Mitsubishi;Lancer
90;Evo görünümlü lancer;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-evo-gorunumlu-lancer-872728414/detay;2011;234000;Kırmızı;83000;TL;2020-10-23;Artvin;Merkez;Mitsubishi;Lancer
91;MEMURDAN temiz OTOMATİK bakımlı mıtsubishi lancer;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-memurdan-temiz-otomatik-bakimli-mitsubishi-lancer-873803395/detay;2004;169800;Beyaz;77750;TL;2020-10-25;Gümüşhane;Merkez;Mitsubishi;Lancer
92;**ACİL SATILIK KAevo**;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-acil-satilik-kaevo-873740023/detay;2009;213000;Siyah;99000;TL;2020-10-25;Ankara;Yenimahalle;Mitsubishi;Lancer
93;Temiz Araç Arayanlara;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-temiz-arac-arayanlara-873775511/detay;2010;155500;Gümüş Gri;115000;TL;2020-10-24;Ankara;Çankaya;Mitsubishi;Lancer
94;AİRLİ DEĞİŞENSİZ LANCER;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-airli-degisensiz-lancer-873775485/detay;2006;223000;Siyah;75000;TL;2020-10-24;Mersin;Tarsus;Mitsubishi;Lancer
95;EMSALSİZ TERTEMİZ 160.000 KMDE LANCER 1.5;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-emsalsiz-tertemiz-160.000-kmde-lancer-1.5-873325401/detay;1990;160;Beyaz;35750;TL;2020-10-22;Burdur;Merkez;Mitsubishi;Lancer
96;121600 km de sanruflu servis bakımlı PAZARLIK YOK;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-121600-km-de-sanruflu-servis-bakimli-pazarlik-yok-873741850/detay;2012;121350;Gümüş Gri;120000;TL;2020-10-24;Bolu;Gerede;Mitsubishi;Lancer
97;ALP OTOMOTİV'DEN 2010 MİTSUBİSHİ LANCER 1.5 İNVİTE OTM.VİTES;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-alp-otomotiv-den-2010-mitsubishi-lancer-1.5-invite-otm.vites-873297165/detay;2010;90000;Gri;118500;TL;2020-10-22;Edirne;Merkez;Mitsubishi;Lancer
98;2011 model sportback satıliktir;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-2011-model-sportback-satiliktir-873292557/detay;2011;198000;Beyaz;90000;TL;2020-10-22;İstanbul;Esenyurt;Mitsubishi;Lancer
99;İLK SAHİBİYİM KAZA YOK TRAMER KAYDI YOK;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-ilk-sahibiyim-kaza-yok-tramer-kaydi-yok-873677361/detay;2011;135000;Siyah;135000;TL;2020-10-24;Bursa;Nilüfer;Mitsubishi;Lancer
100;ALİ BEY OTOMOTİVDEN EFSANE KÖPEK BALIĞI LANCER;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-ali-bey-otomotivden-efsane-kopek-baligi-lancer-864023927/detay;2009;203000;Kırmızı;83500;TL;2020-10-22;İstanbul;Ümraniye;Mitsubishi;Lancer
101;HATASIZ DEĞİŞENSİZ BOYASIZ LANCER;https://www.sahibinden.com/ilan/vasita-otomobil-mitsubishi-hatasiz-degisensiz-boyasiz-lancer-873205784/detay;2015;84000;Beyaz;167000;TL;2020-10-22;Konya;Selçuklu;Mitsubishi;Lancer
