caption;link;year;km;color;price;price_unit;date;city;district;brand;model
1;ÇİFTKURTLAR PLAZA'DAN - 2013 AUDİ A8 3.0TDI LONG QUATTRO;https://www.sahibinden.com/ilan/vasita-otomobil-audi-ciftkurtlar-plaza-dan-2013-audi-a8-3.0tdi-long-quattro-856398143/detay;2013;250000;Kahverengi;699000;TL;2020-11-02;İstanbul;Sarıyer;Audi;A8
2;2020-SIFIR KM-DOĞUŞ ÇKŞ-ARKA AKS-LAZER-3D BANGOLUFSEN -DİSTRONİC-;https://www.sahibinden.com/ilan/vasita-otomobil-audi-2020-sifir-km-dogus-cks-arka-aks-lazer-3d-bangolufsen-distronic-867803677/detay;2020;0;Siyah;2900000;TL;2020-11-02;Trabzon;Ortahisar;Audi;A8
3;MAZZINI..LONG..TV..4 KOLTUK ISITMA..AIRMATI­C..ELK.BAGAJ..;https://www.sahibinden.com/ilan/vasita-otomobil-audi-mazzini..long..tv..4-koltuk-isitma..airmatic..elk.bagaj-867740635/detay;2007;300532;Beyaz;232000;TL;2020-11-01;İzmir;Balçova;Audi;A8
4;-- DOSTLAR -- HATASIZ-BOYASIZ-­AUDI-A8-3.0-V6-T­DI-QUAATRO-LONG-;https://www.sahibinden.com/ilan/vasita-otomobil-audi-dostlar-hatasiz-boyasiz-audi-a8-3.0-v6-tdi-quaatro-long-813201887/detay;2016;120000;Siyah;1750000;TL;2020-11-01;Burdur;Merkez;Audi;A8
5;2003 MODEL HASAR KAYITLI AUDİ A8;https://www.sahibinden.com/ilan/vasita-otomobil-audi-2003-model-hasar-kayitli-audi-a8-875351854/detay;2003;225000;Gri;127500;TL;2020-11-01;Kayseri;Melikgazi;Audi;A8
6;%18 KDVLİ-BAYİ-2016-A8 3.0 TDI QUATTRO LONG-BUZDOL­ABI-SOĞUTM.;https://www.sahibinden.com/ilan/vasita-otomobil-audi-18-kdvli-bayi-2016-a8-3.0-tdi-quattro-long-buzdolabi-sogutm-827919962/detay;2016;155000;Siyah;1210000;TL;2020-11-01;İstanbul;Esenler;Audi;A8
7;SERCAN OTOMOTİVDEN AUDI A8 QUATTRO LONG-BOSE-AIRMATIC;https://www.sahibinden.com/ilan/vasita-otomobil-audi-sercan-otomotivden-audi-a8-quattro-long-bose-airmatic-822861511/detay;2006;209000;Gri;235000;TL;2020-10-31;Giresun;Merkez;Audi;A8
8;2013 ÇIKIŞLI 265.000 KM 2012 AUDI A8 LONG QUATRO BAYI;https://www.sahibinden.com/ilan/vasita-otomobil-audi-2013-cikisli-265.000-km-2012-audi-a8-long-quatro-bayi-854472862/detay;2012;265000;Siyah;615000;TL;2020-10-31;Kastamonu;Cide;Audi;A8
9;BAYİ A8 LONG 4.0 TFSİ QUATTRO 435 HP CAM TVN+BOSE+ISI­TMA+SOĞUTMA;https://www.sahibinden.com/ilan/vasita-otomobil-audi-bayi-a8-long-4.0-tfsi-quattro-435-hp-cam-tvn-plusbose-plusisitma-plussogutma-874981661/detay;2014;180000;Gri;1050000;TL;2020-10-30;Muğla;Fethiye;Audi;A8
10;Özel araç busines;https://www.sahibinden.com/ilan/vasita-otomobil-audi-ozel-arac-busines-874971633/detay;2015;98000;Gümüş Gri;1315000;TL;2020-10-30;İstanbul;Üsküdar;Audi;A8
11;AGR MOTORS 2020 AUDIA8 50TDI L ARKA AKS 3D BANGOLUFSEN ARKA MASA;https://www.sahibinden.com/ilan/vasita-otomobil-audi-agr-motors-2020-audia8-50tdi-l-arka-aks-3d-bangolufsen-arka-masa-836038634/detay;2020;0;Siyah;3350000;TL;2020-10-30;İstanbul;Beşiktaş;Audi;A8
12;2018 AUDI A8L 50 TDI QUATTRO 286 HP TIPTRONIC;https://www.sahibinden.com/ilan/vasita-otomobil-audi-2018-audi-a8l-50-tdi-quattro-286-hp-tiptronic-854190647/detay;2018;36550;Siyah;2550000;TL;2020-10-30;Şanlıurfa;Haliliye;Audi;A8
13;Audi A8 3.0 TDI Quattro long;https://www.sahibinden.com/ilan/vasita-otomobil-audi-audi-a8-3.0-tdi-quattro-long-865939119/detay;2015;183000;Siyah;1220000;TL;2020-10-31;İstanbul;Pendik;Audi;A8
14;Sahibinden kazasız hatasız A8;https://www.sahibinden.com/ilan/vasita-otomobil-audi-sahibinden-kazasiz-hatasiz-a8-874844746/detay;2009;298600;Siyah;415000;TL;2020-10-31;Ankara;Çankaya;Audi;A8
15;2015 ÇIKIŞLI BAYİ BOYASIZ ÖZEL SİPARİŞ A8 3.0 TDI QUATTRO LONG;https://www.sahibinden.com/ilan/vasita-otomobil-audi-2015-cikisli-bayi-boyasiz-ozel-siparis-a8-3.0-tdi-quattro-long-874830338/detay;2014;140457;Siyah;1125000;TL;2020-10-29;Afyonkarahisar;Merkez;Audi;A8
16;2015 AUDI A8 L 3.0 TDI QUATTRO S-LINE_B&O_HEADUP­_M.MEDYA_HATASIZ;https://www.sahibinden.com/ilan/vasita-otomobil-audi-2015-audi-a8-l-3.0-tdi-quattro-s-line_b-o_headup_m.medya_hatasiz-866510625/detay;2015;60261;Siyah;1299000;TL;2020-10-29;İstanbul;Kadıköy;Audi;A8
17;CEMautomotive-2011 AUDİ A8 3.0 TDİ LONG-BAYİ;https://www.sahibinden.com/ilan/vasita-otomobil-audi-cemautomotive-2011-audi-a8-3.0-tdi-long-bayi-874804237/detay;2011;247000;Siyah;585000;TL;2020-10-29;Ankara;Çankaya;Audi;A8
18;EMSALSİZ TEMİZLİKTE A8 BOSE-TV-VAKUM;https://www.sahibinden.com/ilan/vasita-otomobil-audi-emsalsiz-temizlikte-a8-bose-tv-vakum-860138071/detay;2006;303000;Siyah;275000;TL;2020-10-29;Ankara;Etimesgut;Audi;A8
19;2007 MODEL AUDİ A8 3.0 TDİ QUATTRO LONG BUSİNESS;https://www.sahibinden.com/ilan/vasita-otomobil-audi-2007-model-audi-a8-3.0-tdi-quattro-long-business-855137369/detay;2007;257000;Siyah;3e+05;TL;2020-10-29;Konya;Karatay;Audi;A8
20;1998 AUDI A8 2.5 TDI DIZEL-OTOMATİK;https://www.sahibinden.com/ilan/vasita-otomobil-audi-1998-audi-a8-2.5-tdi-dizel-otomatik-874610219/detay;1998;352000;Lacivert;115000;TL;2020-10-28;İstanbul;Sancaktepe;Audi;A8
21;ÇETİNKAYA DAN 2020 A8 6.0 TDİ QUATTRO LONG-4000 CC-V8-435HP;https://www.sahibinden.com/ilan/vasita-otomobil-audi-cetinkaya-dan-2020-a8-6.0-tdi-quattro-long-4000-cc-v8-435hp-874990874/detay;2020;10;Siyah;4100000;TL;2020-10-30;Ankara;Altındağ;Audi;A8
22;EBAY'dan 2007 A8 3.0 TDİ QUATTRO SHORT BAYİ ÇIKIŞLI;https://www.sahibinden.com/ilan/vasita-otomobil-audi-ebay-dan-2007-a8-3.0-tdi-quattro-short-bayi-cikisli-830162083/detay;2007;320000;Füme;235000;TL;2020-10-28;İstanbul;Bağcılar;Audi;A8
23;G2 GÜVENLERDEN HATASIZ BAYİ FULL AUDİ A8 4.2L TDİ QUATTRO 350 HP;https://www.sahibinden.com/ilan/vasita-otomobil-audi-g2-guvenlerden-hatasiz-bayi-full-audi-a8-4.2l-tdi-quattro-350-hp-874937786/detay;2011;239000;Siyah;749500;TL;2020-10-30;İstanbul;Arnavutköy;Audi;A8
24;-VEGAS MOTORS-2018AUDI A8 50TDI QUATTRO LONG MATRIX BAYİ HATASIZ;https://www.sahibinden.com/ilan/vasita-otomobil-audi-vegas-motors-2018audi-a8-50tdi-quattro-long-matrix-bayi-hatasiz-764037614/detay;2018;50000;Siyah;2600000;TL;2020-10-28;İstanbul;Kadıköy;Audi;A8
25;2012 AUD A8 3.0 TDİ QUATTRO LONG BAYİ ÇIKIŞLI;https://www.sahibinden.com/ilan/vasita-otomobil-audi-2012-aud-a8-3.0-tdi-quattro-long-bayi-cikisli-866182022/detay;2012;294000;Beyaz;550000;TL;2020-10-28;İstanbul;Sultanbeyli;Audi;A8
26;2006 Audi A8 Quattro;https://www.sahibinden.com/ilan/vasita-otomobil-audi-2006-audi-a8-quattro-874906815/detay;2006;488000;Siyah;2e+05;TL;2020-10-30;Ankara;Çankaya;Audi;A8
27;ANL MOTORS SOĞUTMA MASAJ ELK BAGAJ HAFIZA BAYİ ÇIKIŞLI TAM DOLU;https://www.sahibinden.com/ilan/vasita-otomobil-audi-anl-motors-sogutma-masaj-elk-bagaj-hafiza-bayi-cikisli-tam-dolu-874427327/detay;2014;135000;Siyah;1039000;TL;2020-10-28;İstanbul;Bakırköy;Audi;A8
28;Emsalsiz Audi A8 4.2 Quattro 215.000 km, değişensiz, tramersiz;https://www.sahibinden.com/ilan/vasita-otomobil-audi-emsalsiz-audi-a8-4.2-quattro-215.000-km-degisensiz-tramersiz-872457748/detay;2003;215000;Mavi;255000;TL;2020-10-29;İzmir;Karşıyaka;Audi;A8
29;SAHİBİNDEN BAYİ ÇIKIŞLI A8 LONG;https://www.sahibinden.com/ilan/vasita-otomobil-audi-sahibinden-bayi-cikisli-a8-long-874854296/detay;2007;184000;Siyah;410000;TL;2020-10-29;Yalova;Çınarcık;Audi;A8
