caption;link;year;km;color;price;price_unit;date;city;district;brand;model
1;RİTİM MOTORS 2016 MODEL BORUSAN 3.20İED MSPORTPLUS 70.000 KM'DE;https://www.sahibinden.com/ilan/vasita-otomobil-bmw-ritim-motors-2016-model-borusan-3.20ied-msportplus-70.000-km-de-843581712/detay;2016;70000;Gümüş Gri;385000;TL;2020-11-02;İstanbul;Ataşehir;BMW;3 Serisi
2;BMW 3.20i F80 GÖRÜNÜM TRAMERSİZ;https://www.sahibinden.com/ilan/vasita-otomobil-bmw-bmw-3.20i-f80-gorunum-tramersiz-875349801/detay;2013;178000;Beyaz;290000;TL;2020-11-01;Mersin;Mezitli;BMW;3 Serisi
3;İÇİ KIRMIZI+FULL M+BOYASIZ+70­KM+TRAMERSİZ;https://www.sahibinden.com/ilan/vasita-otomobil-bmw-ici-kirmizi-plusfull-m-plusboyasiz-plus70km-plustramersiz-875378300/detay;2014;71000;Füme;365000;TL;2020-11-01;İstanbul;Ataşehir;BMW;3 Serisi
4;AKTÜRKTEN EMSALSİZ BMW 3.20İ PRİNS LPGLİ;https://www.sahibinden.com/ilan/vasita-otomobil-bmw-akturkten-emsalsiz-bmw-3.20i-prins-lpgli-874690223/detay;2008;163000;Gri;178950;TL;2020-11-01;Kocaeli;Derince;BMW;3 Serisi
5;BB AUTO DAN 320 DIZEL OTOMATİK PREMIUM IŞIK PAKET DEGİŞENSIZ;https://www.sahibinden.com/ilan/vasita-otomobil-bmw-bb-auto-dan-320-dizel-otomatik-premium-isik-paket-degisensiz-867680670/detay;2007;272000;Gümüş Gri;138850;TL;2020-11-01;İstanbul;Bağcılar;BMW;3 Serisi
6;SAHİBİNDEN KAZASIZ 2016 MODEL 320İ ED SPORT PLUS PIRIL PIRILLLLL;https://www.sahibinden.com/ilan/vasita-otomobil-bmw-sahibinden-kazasiz-2016-model-320i-ed-sport-plus-piril-pirilllll-875298257/detay;2016;57000;Beyaz;368750;TL;2020-11-01;İstanbul;Kartal;BMW;3 Serisi
7;BU FIYATA TRDE YOK TEMİZ ARAYANA FIRSAT ARACI;https://www.sahibinden.com/ilan/vasita-otomobil-bmw-bu-fiyata-trde-yok-temiz-arayana-firsat-araci-875295776/detay;2006;190000;Lacivert;148000;TL;2020-11-01;Kocaeli;Gebze;BMW;3 Serisi
8;BADILLI DAN TR EN DOLUSU HARMAN EXC M SPORT;https://www.sahibinden.com/ilan/vasita-otomobil-bmw-badilli-dan-tr-en-dolusu-harman-exc-m-sport-875271417/detay;2020;6750;Mavi;810000;TL;2020-11-01;Şanlıurfa;Karaköprü;BMW;3 Serisi
9;YB / DEN BORUSAN HATASIZ BOYASIZ EMSALSİZ F 30;https://www.sahibinden.com/ilan/vasita-otomobil-bmw-yb-den-borusan-hatasiz-boyasiz-emsalsiz-f-30-875235864/detay;2013;199750;Beyaz;307500;TL;2020-11-01;Şanlıurfa;Karaköprü;BMW;3 Serisi
10;2013 Model Sadece 112.000 km SUNROOF'lu 3.20d;https://www.sahibinden.com/ilan/vasita-otomobil-bmw-2013-model-sadece-112.000-km-sunroof-lu-3.20d-873104822/detay;2013;110000;Siyah;305000;TL;2020-11-01;Antalya;Manavgat;BMW;3 Serisi
11;ACİL SAHİBİNDEN BMW 3.20d PREMİUM SANROOF BAYİ;https://www.sahibinden.com/ilan/vasita-otomobil-bmw-acil-sahibinden-bmw-3.20d-premium-sanroof-bayi-875206728/detay;2012;155000;Beyaz;222000;TL;2020-10-31;Aydın;Didim;BMW;3 Serisi
12;TEMİZ BMW 316i IŞIK PAKET;https://www.sahibinden.com/ilan/vasita-otomobil-bmw-temiz-bmw-316i-isik-paket-875186503/detay;2012;163820;Beyaz;204000;TL;2020-10-31;İstanbul;Kadıköy;BMW;3 Serisi
13;2013 BMW 320 İ MODERN LİNE HATASIZ BOYASIZ TRAMERSİZ 125.00 KM;https://www.sahibinden.com/ilan/vasita-otomobil-bmw-2013-bmw-320-i-modern-line-hatasiz-boyasiz-tramersiz-125.00-km-872247046/detay;2013;125000;Şampanya;314900;TL;2020-10-31;İstanbul;Büyükçekmece;BMW;3 Serisi
14;BOYASIZ DEGISENSIZ TRAMERSIZ EXPERTIZ GARANTILI;https://www.sahibinden.com/ilan/vasita-otomobil-bmw-boyasiz-degisensiz-tramersiz-expertiz-garantili-875156531/detay;2013;122000;Beyaz;295900;TL;2020-10-31;Kocaeli;Kartepe;BMW;3 Serisi
15;2016/BMW/320d/HATAS­IZ/190HP/SUNROOF/İÇ BEJ/FULL/BAYİİ;https://www.sahibinden.com/ilan/vasita-otomobil-bmw-2016-bmw-320d-hatasiz-190hp-sunroof-ic-bej-full-bayii-875140781/detay;2016;85000;Beyaz;415000;TL;2020-10-31;Aydın;Didim;BMW;3 Serisi
16;2014 MODEL BMW 320İ ED M PLUS İÇ-DIŞ M F80 GÖRÜNÜM KAPUT;https://www.sahibinden.com/ilan/vasita-otomobil-bmw-2014-model-bmw-320i-ed-m-plus-ic-dis-m-f80-gorunum-kaput-875119837/detay;2014;97000;Gri;319750;TL;2020-10-31;İstanbul;Esenyurt;BMW;3 Serisi
17;2016 BMW 320İ ED SPORTLİNE PLUS 99000 KM İLGİ ÇEKMEK İSTEYENE !!;https://www.sahibinden.com/ilan/vasita-otomobil-bmw-2016-bmw-320i-ed-sportline-plus-99000-km-ilgi-cekmek-isteyene-874625547/detay;2016;99000;Siyah;354000;TL;2020-10-31;İstanbul;Bağcılar;BMW;3 Serisi
18;''ÇAĞLI'' 1990 Bmw 3.25i Nadir Temizlikte Klimalı M52B28;https://www.sahibinden.com/ilan/vasita-otomobil-bmw-cagli-1990-bmw-3.25i-nadir-temizlikte-klimali-m52b28-875098445/detay;1990;299000;Turkuaz;72500;TL;2020-10-31;Konya;Karatay;BMW;3 Serisi
19;ŞAHİN GARAGE | 2016 BMW 320i ED M PLUS;https://www.sahibinden.com/ilan/vasita-otomobil-bmw-sahin-garage-2016-bmw-320i-ed-m-plus-875094429/detay;2016;55000;Beyaz;435750;TL;2020-10-31;Ordu;Altınordu;BMW;3 Serisi
20;Bmw 320d 184hp değişensiz;https://www.sahibinden.com/ilan/vasita-otomobil-bmw-bmw-320d-184hp-degisensiz-874982105/detay;2011;130000;Siyah;220000;TL;2020-10-30;Samsun;Canik;BMW;3 Serisi
21;2010+BMW+KAZAS­IZ+DEĞİŞENSİZ+D İZEL+320d+IŞIK PAKET+DÜŞÜK KM;https://www.sahibinden.com/ilan/vasita-otomobil-bmw-2010-plusbmw-pluskazasiz-plusdegisensiz-plusdizel-plus320d-plusisik-paket-plusdusuk-km-874387740/detay;2010;158000;Beyaz;196500;TL;2020-10-30;İstanbul;Zeytinburnu;BMW;3 Serisi
22;2015+BMW+3.16İ+KAZ­ASIZ+SUNRUFLU+DERİ KOLTUK+ZENON+SEDEFLİ BEYAZ;https://www.sahibinden.com/ilan/vasita-otomobil-bmw-2015-plusbmw-plus3.16i-pluskazasiz-plussunruflu-plusderi-koltuk-pluszenon-plussedefli-beyaz-874384823/detay;2015;116000;Beyaz;307000;TL;2020-10-30;İstanbul;Zeytinburnu;BMW;3 Serisi
23;BMW 3.20 İED IŞIK PAKET 2013 116 BİN KM S;https://www.sahibinden.com/ilan/vasita-otomobil-bmw-bmw-3.20-ied-isik-paket-2013-116-bin-km-s-874977210/detay;2013;116000;Beyaz;297500;TL;2020-10-30;Zonguldak;Çaycuma;BMW;3 Serisi
24;2018 ÇIKIŞLI***BOYASIZ*­*DEĞİŞENSIZ**TRAME­RSIZ**54BİNDE*ÖZEL RENK;https://www.sahibinden.com/ilan/vasita-otomobil-bmw-2018-cikisli-boyasiz-degisensiz-tramersiz-54binde-ozel-renk-866986135/detay;2017;54000;Turuncu;399000;TL;2020-10-30;İstanbul;Beylikdüzü;BMW;3 Serisi
25;YILMAZLAR GROUP'DAN 2012 MODEL BMW 316İ MODERNLİNE;https://www.sahibinden.com/ilan/vasita-otomobil-bmw-yilmazlar-group-dan-2012-model-bmw-316i-modernline-874930368/detay;2012;299000;Beyaz;245000;TL;2020-10-30;Bursa;Yıldırım;BMW;3 Serisi
26;BMW MOR KAPLAMA;https://www.sahibinden.com/ilan/vasita-otomobil-bmw-bmw-mor-kaplama-874929040/detay;2019;7000;Mor;735000;TL;2020-10-30;İzmir;Gaziemir;BMW;3 Serisi
27;2009 MODEL BMW 3.18D PREMİUM IŞIK PAKET , İMOLA KIRMIZI;https://www.sahibinden.com/ilan/vasita-otomobil-bmw-2009-model-bmw-3.18d-premium-isik-paket-imola-kirmizi-874904719/detay;2009;271000;Kırmızı;149900;TL;2020-10-30;Antalya;Kepez;BMW;3 Serisi
28;ORJİNAL 92.000 KM HATASIZ KUSURSUZ TÜRKİYEDE TEK ÖZEL PLAKA;https://www.sahibinden.com/ilan/vasita-otomobil-bmw-orjinal-92.000-km-hatasiz-kusursuz-turkiyede-tek-ozel-plaka-874860087/detay;2008;92000;Kırmızı;315000;TL;2020-10-30;Düzce;Akçakoca;BMW;3 Serisi
29;SAHİBİNDEN KUSURSUZ GIRTLAK DOLU BOL EXTRALI TEK STATİON WAGON;https://www.sahibinden.com/ilan/vasita-otomobil-bmw-sahibinden-kusursuz-girtlak-dolu-bol-extrali-tek-station-wagon-874823301/detay;2015;115000;Gri;6e+05;TL;2020-10-29;Gaziantep;Şehitkamil;BMW;3 Serisi
30;AUTO ÖZKAN+ DAN EXTARLI M3 HAFIZA HIFİ +DOLU DOLU BOYASIZ+///;https://www.sahibinden.com/ilan/vasita-otomobil-bmw-auto-ozkan-plus-dan-extarli-m3-hafiza-hifi-plusdolu-dolu-boyasiz-plus-874832509/detay;2014;135000;Beyaz;325750;TL;2020-10-29;İstanbul;Esenyurt;BMW;3 Serisi
