caption;link;year;km;color;price;price_unit;date;city;district;brand;model
1;BAYİ ÇIKIŞLI SERVİS BAKIMLI 177HP YENİ KASA SANRUF ISITMALI DERİ;https://www.sahibinden.com/ilan/vasita-otomobil-audi-bayi-cikisli-servis-bakimli-177hp-yeni-kasa-sanruf-isitmali-deri-874843890/detay;2012;162000;Beyaz;348000;TL;2020-10-29;Sakarya;Akyazı;Audi;A5
2;TR'DE TEK ''Boyasız,6­2.000km,Dış S-Lıne, İçi Taba ''BAYİİ;https://www.sahibinden.com/ilan/vasita-otomobil-audi-tr-de-tek-boyasiz%2C62.000km%2Cdis-s-line-ici-taba-bayii-852514894/detay;2011;62000;Beyaz;362500;TL;2020-10-28;Ankara;Keçiören;Audi;A5
3;2018 MODEL HATASIZ A5 SPORT HAYALET MATRIX KAYAR LED NAVİG.BAYİ;https://www.sahibinden.com/ilan/vasita-otomobil-audi-2018-model-hatasiz-a5-sport-hayalet-matrix-kayar-led-navig.bayi-858356611/detay;2018;65500;Siyah;759750;TL;2020-10-26;Ankara;Çankaya;Audi;A5
4;UYGUN FİYATA 2010 MODEL AUDİ A5 SPORTBACK 2.0TDI HASAR KAYITSIZ;https://www.sahibinden.com/ilan/vasita-otomobil-audi-uygun-fiyata-2010-model-audi-a5-sportback-2.0tdi-hasar-kayitsiz-873905993/detay;2010;232000;Siyah;255000;TL;2020-10-25;İzmir;Bayraklı;Audi;A5
5;120.000 KMDE EN DOLUSU 4 KAPI AUDİ A5 BU KMDE BU MODEL ARABA YOK;https://www.sahibinden.com/ilan/vasita-otomobil-audi-120.000-kmde-en-dolusu-4-kapi-audi-a5-bu-kmde-bu-model-araba-yok-872636879/detay;2014;120000;Beyaz;390000;TL;2020-10-20;Kırşehir;Merkez;Audi;A5
6;MY PLAZA - 2017 AUDİ A5 2.0 TDI QUATTRO DESIGN HATASIZ BOYASIZ..;https://www.sahibinden.com/ilan/vasita-otomobil-audi-my-plaza-2017-audi-a5-2.0-tdi-quattro-design-hatasiz-boyasiz-842928639/detay;2017;73000;Siyah;717500;TL;2020-10-09;Eskişehir;Odunpazarı;Audi;A5
7;iç dış s Line full paketidir dosta gidecek araçtır;https://www.sahibinden.com/ilan/vasita-otomobil-audi-ic-dis-s-line-full-paketidir-dosta-gidecek-aractir-874861523/detay;2011;335000;Beyaz;207000;TL;2020-10-30;İstanbul;Sultanbeyli;Audi;A5
8;FIRSAT ARACI TARAFTAR PLAKA';https://www.sahibinden.com/ilan/vasita-otomobil-audi-firsat-araci-taraftar-plaka-874851749/detay;2011;183600;Beyaz;257000;TL;2020-10-30;Kocaeli;Derince;Audi;A5
9;SPORT+DELUX+P­RESTİGE+Kesik Direksiyon+ 19 S-Line Jantlar;https://www.sahibinden.com/ilan/vasita-otomobil-audi-sport-plusdelux-plusprestige-pluskesik-direksiyon-plus-19-s-line-jantlar-798250910/detay;2017;39400;Füme;629000;TL;2020-10-30;İstanbul;Sarıyer;Audi;A5
10;A5 sportback;https://www.sahibinden.com/ilan/vasita-otomobil-audi-a5-sportback-874867729/detay;2017;105000;Füme;499000;TL;2020-10-30;İstanbul;Başakşehir;Audi;A5
11;PASCHA MOTORSDAN A5 2.0 QUATTRO HATASIZ TR TEK DOLULUKTA BADY Lİ;https://www.sahibinden.com/ilan/vasita-otomobil-audi-pascha-motorsdan-a5-2.0-quattro-hatasiz-tr-tek-dolulukta-bady-li-874847441/detay;2017;1e+05;Beyaz;720000;TL;2020-10-29;Konya;Selçuklu;Audi;A5
12;AUDİ A5 1.4 TFSI DYNAMIC 2017;https://www.sahibinden.com/ilan/vasita-otomobil-audi-audi-a5-1.4-tfsi-dynamic-2017-874833035/detay;2017;95000;Siyah;525000;TL;2020-10-29;İstanbul;Bağcılar;Audi;A5
