caption;link;year;km;color;price;price_unit;date;city;district;brand;model
1;Acil!!!! Takas değerlendirilir;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-acil-takas-degerlendirilir-872997571/detay;1991;224000;Kırmızı;59000;TL;2020-10-21;Ankara;Yenimahalle;Toyota;Celica
2;'X-CLUSIVE' 2001 TOYOTA CELICA 1.8TS ( 192 HP );https://www.sahibinden.com/ilan/vasita-otomobil-toyota-x-clusive-2001-toyota-celica-1.8ts-192-hp-872999268/detay;2001;150495;Kırmızı;160000;TL;2020-10-21;İstanbul;Sarıyer;Toyota;Celica
3;GÖZLER ÜZERİNİZDE OLACAK;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-gozler-uzerinizde-olacak-856887056/detay;1992;7000;Mavi;61750;TL;2020-10-19;Konya;Selçuklu;Toyota;Celica
4;hatasız + boyasız koleksiyonluk;https://www.sahibinden.com/ilan/vasita-otomobil-toyota-hatasiz-plus-boyasiz-koleksiyonluk-858021473/detay;1990;236;Kırmızı;110000;TL;2020-10-07;Ankara;Keçiören;Toyota;Celica
