caption;link;year;km;color;price;price_unit;date;city;district
24;Değişensiz 4 parça boyalı Enjoy Görünümlü Essentia;https://www.sahibinden.com/ilan/vasita-otomobil-opel-degisensiz-4-parca-boyali-enjoy-gorunumlu-essentia-875141402/detay;2004;248000;Lacivert;60000;TL;2020-10-31;Antalya;Kepez
25;SAHİBİNDEN HASAR KAYITSIZ CORSA ENJOY 130 BİNDE;https://www.sahibinden.com/ilan/vasita-otomobil-opel-sahibinden-hasar-kayitsiz-corsa-enjoy-130-binde-871697901/detay;2007;130000;Mavi;89250;TL;2020-10-31;Kayseri;Talas
26;ÖĞRETMENDEN 2014 OPEL CORSA 31BİNDE HATASİZ BOYASİZ;https://www.sahibinden.com/ilan/vasita-otomobil-opel-ogretmenden-2014-opel-corsa-31binde-hatasiz-boyasiz-875130169/detay;2014;31000;Beyaz;117500;TL;2020-10-31;Siirt;Merkez
27;2020 Yeni Opel Corsa 1.2 edition özel seri SIFIR Hemen Teslim;https://www.sahibinden.com/ilan/vasita-otomobil-opel-2020-yeni-opel-corsa-1.2-edition-ozel-seri-sifir-hemen-teslim-875141323/detay;2020;0;Gri;169900;TL;2020-10-31;Kırklareli;Lüleburgaz
28;Temiz Opel Corsa;https://www.sahibinden.com/ilan/vasita-otomobil-opel-temiz-opel-corsa-875139592/detay;2012;115700;Füme;112000;TL;2020-10-31;Sakarya;Serdivan
29;2020 CORSA 1.5D EDITION 10.900KM_HAT­ASIZ_%18KDV;https://www.sahibinden.com/ilan/vasita-otomobil-opel-2020-corsa-1.5d-edition-10.900km_hatasiz-18kdv-867281409/detay;2020;10900;Kırmızı;184000;TL;2020-10-31;İstanbul;Ümraniye
30;DODANLI AUTO 2016 OPEL CORSA 1.4 COLOR EDİTİON OTOMATİK;https://www.sahibinden.com/ilan/vasita-otomobil-opel-dodanli-auto-2016-opel-corsa-1.4-color-edition-otomatik-867367641/detay;2016;37000;Beyaz;137500;TL;2020-10-31;Şanlıurfa;Karaköprü
31;GÖLHİSAR'dan 2012 OPEL CORSA 1.2 TWİNPORT ESSENTİA OTOMATİK;https://www.sahibinden.com/ilan/vasita-otomobil-opel-golhisar-dan-2012-opel-corsa-1.2-twinport-essentia-otomatik-875141016/detay;2012;95000;Beyaz;99950;TL;2020-10-31;Muğla;Fethiye
32;Opel Corsa;https://www.sahibinden.com/ilan/vasita-otomobil-opel-opel-corsa-875139904/detay;2012;266400;Kahverengi;84500;TL;2020-10-31;İstanbul;Üsküdar
33;2015 Model Opel Corsa E;https://www.sahibinden.com/ilan/vasita-otomobil-opel-2015-model-opel-corsa-e-875138257/detay;2015;163000;Beyaz;107500;TL;2020-10-31;Antalya;Muratpaşa
34;DEĞİŞENSİZ 2013 OPEL 187 bin Km;https://www.sahibinden.com/ilan/vasita-otomobil-opel-degisensiz-2013-opel-187-bin-km-875134366/detay;2013;187000;Siyah;81000;TL;2020-10-31;İstanbul;Büyükçekmece
35;KAYITSIZ MASRAFSIZ BİNİLECEK ARAÇ;https://www.sahibinden.com/ilan/vasita-otomobil-opel-kayitsiz-masrafsiz-binilecek-arac-875137128/detay;2008;325000;Füme;73500;TL;2020-10-31;Kayseri;Kocasinan
36;TEMİZ OPEL CORSA DÜŞÜK KM;https://www.sahibinden.com/ilan/vasita-otomobil-opel-temiz-opel-corsa-dusuk-km-875136879/detay;2012;123000;Siyah;88500;TL;2020-10-31;Adıyaman;Merkez
37;Corsa 1.3 motor sıfır;https://www.sahibinden.com/ilan/vasita-otomobil-opel-corsa-1.3-motor-sifir-875134319/detay;2005;256000;Beyaz;37500;TL;2020-10-31;Aksaray;Ortaköy
38;Daha uygunu yok Opel Corsa;https://www.sahibinden.com/ilan/vasita-otomobil-opel-daha-uygunu-yok-opel-corsa-875133162/detay;2000;210000;Beyaz;34000;TL;2020-10-31;Mardin;Kızıltepe
39;2004 OPEL CORSA 1.3 CDTI COSMO OTOMATİK HATASIZ;https://www.sahibinden.com/ilan/vasita-otomobil-opel-2004-opel-corsa-1.3-cdti-cosmo-otomatik-hatasiz-875136710/detay;2004;310000;Gümüş Gri;67000;TL;2020-10-31;Antalya;Kepez
40;1.7 Hususi Yazılımlı Corsa;https://www.sahibinden.com/ilan/vasita-otomobil-opel-1.7-hususi-yazilimli-corsa-875130618/detay;2003;379000;Beyaz;41000;TL;2020-10-31;Ankara;Çankaya
41;Değişensiz.Düşük km;https://www.sahibinden.com/ilan/vasita-otomobil-opel-degisensiz.dusuk-km-875131322/detay;2013;71500;Gri;112500;TL;2020-10-31;Balıkesir;Altıeylül
42;Memurdan, Bakımlı, Masrafsız;https://www.sahibinden.com/ilan/vasita-otomobil-opel-memurdan-bakimli-masrafsiz-829060295/detay;2011;103000;Siyah;109900;TL;2020-10-31;Kocaeli;İzmit
43;2001 1.4 ELEGANCE;https://www.sahibinden.com/ilan/vasita-otomobil-opel-2001-1.4-elegance-866300175/detay;2001;280000;Yeşil;52000;TL;2020-10-31;Kütahya;Merkez
44;86.000 KM HATASIZ BOYASIZ DEĞENSİZ TRAMERSİZ;https://www.sahibinden.com/ilan/vasita-otomobil-opel-86.000-km-hatasiz-boyasiz-degensiz-tramersiz-875129142/detay;2012;86000;Kahverengi;113000;TL;2020-10-31;Kayseri;Talas
45;tertemiz hususi araç;https://www.sahibinden.com/ilan/vasita-otomobil-opel-tertemiz-hususi-arac-875127979/detay;2001;283000;Kahverengi;50000;TL;2020-10-31;İstanbul;Çekmeköy
46;EFEBEY AUTO DAN TAM OTOMATİK 27bin kmde HATASIZ corsa 1.4 enjoy;https://www.sahibinden.com/ilan/vasita-otomobil-opel-efebey-auto-dan-tam-otomatik-27bin-kmde-hatasiz-corsa-1.4-enjoy-875122579/detay;2015;27000;Beyaz;159900;TL;2020-10-31;Ankara;Yenimahalle
47;SAHİBİNDEN MÜKEMMEL KONDİSYONDA;https://www.sahibinden.com/ilan/vasita-otomobil-opel-sahibinden-mukemmel-kondisyonda-875127768/detay;2013;139900;Siyah;101000;TL;2020-10-31;Kayseri;Talas
48;ASDOĞAN AUTODAN 2010 MODEL CORSA ENJOY 111YIL OTOMATİK;https://www.sahibinden.com/ilan/vasita-otomobil-opel-asdogan-autodan-2010-model-corsa-enjoy-otomatik-875128080/detay;2010;130000;Gri;93750;TL;2020-10-31;Gaziantep;Şehitkamil
49;HEDEF OTOMOTİV DEN 2001 MODEL ORİJİNAL 1.4 OPEL CORSA COMFORT;https://www.sahibinden.com/ilan/vasita-otomobil-opel-hedef-otomotiv-den-2001-model-orijinal-1.4-opel-corsa-comfort-875128328/detay;2001;223000;Kırmızı;63500;TL;2020-10-31;Sivas;Merkez
50;BOYA YOK__HATA YOK_EZİK ÇİZİK YOK_HASAR KAYDI YOK_44.000 KM DE;https://www.sahibinden.com/ilan/vasita-otomobil-opel-boya-yok__hata-yok_ezik-cizik-yok_hasar-kaydi-yok_44.000-km-de-872900731/detay;2014;44000;Beyaz;126500;TL;2020-10-31;Çorum;Osmancık
51;Çok temiz, tasarruflu 2013 Corsa;https://www.sahibinden.com/ilan/vasita-otomobil-opel-cok-temiz-tasarruflu-2013-corsa-851915371/detay;2013;144000;Beyaz;84500;TL;2020-10-31;İzmir;Bornova
52;AUTO BERLİN'DEN 2011 OPEL Corsa 1.4i Twinport Enjoy;https://www.sahibinden.com/ilan/vasita-otomobil-opel-auto-berlin-den-2011-opel-corsa-1.4i-twinport-enjoy-875124636/detay;2011;137653;Siyah;107750;TL;2020-10-31;İstanbul;Bağcılar
53;SİGARA İCİLMEMİS TEMIZ CORSA;https://www.sahibinden.com/ilan/vasita-otomobil-opel-sigara-icilmemis-temiz-corsa-875008468/detay;2011;148000;Mavi;107500;TL;2020-10-31;İstanbul;Sarıyer
54;Boyasiz degisensiz herseyiyle orjinal;https://www.sahibinden.com/ilan/vasita-otomobil-opel-boyasiz-degisensiz-herseyiyle-orjinal-875113683/detay;2010;245000;Beyaz;95000;TL;2020-10-31;Ankara;Sincan
55;Memurdan temiz corsa;https://www.sahibinden.com/ilan/vasita-otomobil-opel-memurdan-temiz-corsa-875113191/detay;2007;199500;Lacivert;83500;TL;2020-10-31;Ankara;Yenimahalle
56;HASAR KAYITSIZ DEGİŞENSİZ;https://www.sahibinden.com/ilan/vasita-otomobil-opel-hasar-kayitsiz-degisensiz-875122560/detay;2007;207000;Beyaz;85000;TL;2020-10-31;Niğde;Merkez
57;2011 MODEL OPEL CORSA 1.6 TWINPORT ENJOY 157000KM(58000TL KREDİ);https://www.sahibinden.com/ilan/vasita-otomobil-opel-2011-model-opel-corsa-1.6-twinport-enjoy-157000km-58000tl-kredi-866888152/detay;2011;157000;Gri;102750;TL;2020-10-31;İstanbul;Bağcılar
58;2020 YENİ CORSA 1.2 EDİTİON ÖZEL SERİ BOYASIZ 12.000 KMDE;https://www.sahibinden.com/ilan/vasita-otomobil-opel-2020-yeni-corsa-1.2-edition-ozel-seri-boyasiz-12.000-kmde-875122260/detay;2020;12000;Gri;167000;TL;2020-10-31;Edirne;Keşan
59;SAHİBİNDEN ORJİNAL 2005 HASAR KAYITSIZ OPEL CORSA;https://www.sahibinden.com/ilan/vasita-otomobil-opel-sahibinden-orjinal-2005-hasar-kayitsiz-opel-corsa-875109665/detay;2005;152000;Gri;82500;TL;2020-10-31;Adana;Seyhan
60;Sahibinden Temiz;https://www.sahibinden.com/ilan/vasita-otomobil-opel-sahibinden-temiz-875011781/detay;2004;190000;Kırmızı;74000;TL;2020-10-31;Diyarbakır;Bağlar
61;İLK ELDENÜ*2015 OPEL CORSA 1.3CDTİ COLOR EDİTİON*EKRA­NLI*HATASIZ;https://www.sahibinden.com/ilan/vasita-otomobil-opel-ilk-eldenu-2015-opel-corsa-1.3cdti-color-edition-ekranli-hatasiz-875113779/detay;2015;38000;Siyah;149750;TL;2020-10-31;İstanbul;Bağcılar
62;2011 MODEL HATASIZ OPEL CORSA COLOR EDİTİON 1.4TWİNPORT TMOTMTK;https://www.sahibinden.com/ilan/vasita-otomobil-opel-2011-model-hatasiz-opel-corsa-color-edition-1.4twinport-tmotmtk-875117228/detay;2011;113000;Beyaz;131500;TL;2020-10-31;Kırşehir;Merkez
63;HATASIZ BOYASIZ;https://www.sahibinden.com/ilan/vasita-otomobil-opel-hatasiz-boyasiz-875113206/detay;2005;199000;Beyaz;65500;TL;2020-10-31;Tekirdağ;Çorlu
64;Temiz Opel çoksa;https://www.sahibinden.com/ilan/vasita-otomobil-opel-temiz-opel-coksa-875105622/detay;2006;145000;Gri;77500;TL;2020-10-31;İzmir;Tire
