caption;link;year;km;color;price;price_unit;date;city;district
23;Süper astra;https://www.sahibinden.com/ilan/vasita-otomobil-opel-super-astra-875149850/detay;2003;174000;Lacivert;76750;TL;2020-10-31;Ankara;Pursaklar
24;HATASIZ BOYASIZ TRAMERSİZ LPG Lİ;https://www.sahibinden.com/ilan/vasita-otomobil-opel-hatasiz-boyasiz-tramersiz-lpg-li-866974973/detay;2016;60000;Beyaz;149749;TL;2020-10-31;Kırıkkale;Merkez
25;2010 MODEL 140.000KMDE OPEL ASTRA SEDAN 1.6 ENJOY HATASIZ;https://www.sahibinden.com/ilan/vasita-otomobil-opel-2010-model-140.000kmde-opel-astra-sedan-1.6-enjoy-hatasiz-875151838/detay;2010;140000;Gri;113000;TL;2020-10-31;Kütahya;Merkez
26;2019 EXTRALI SIFIR AYARINDA ASTRA 1,4 T EDİTİON PLUS PAZARLIKSIZ;https://www.sahibinden.com/ilan/vasita-otomobil-opel-2019-extrali-sifir-ayarinda-astra-1%2C4-t-edition-plus-pazarliksiz-848943540/detay;2019;25000;Beyaz;168000;TL;2020-10-31;Gaziantep;Şehitkamil
27;2020 MODEL YENİ ASTRA 1.2 TUBO 145 HP HATASIZ 3.700 KM;https://www.sahibinden.com/ilan/vasita-otomobil-opel-2020-model-yeni-astra-1.2-tubo-145-hp-hatasiz-3.700-km-875147554/detay;2020;3700;Kırmızı;227750;TL;2020-10-31;Ankara;Çankaya
28;SAHİBİNDEN TERTEMİZ OPEL;https://www.sahibinden.com/ilan/vasita-otomobil-opel-sahibinden-tertemiz-opel-875150352/detay;2015;40000;Beyaz;163000;TL;2020-10-31;Nevşehir;Merkez
29;TEMİZ DEĞİŞENSİZ BOYASIZ TRAMERSİZ OPEL ASTRA;https://www.sahibinden.com/ilan/vasita-otomobil-opel-temiz-degisensiz-boyasiz-tramersiz-opel-astra-875150001/detay;2017;60000;Beyaz;151000;TL;2020-10-31;Ankara;Mamak
30;beyaz melek;https://www.sahibinden.com/ilan/vasita-otomobil-opel-beyaz-melek-875149180/detay;1997;218;Beyaz;40000;TL;2020-10-31;Kocaeli;Çayırova
31;AKAR OTOMOTİV DEN 2012 OPEL ASTRA ENJOY PLUS HATASIZ BOYASIZ;https://www.sahibinden.com/ilan/vasita-otomobil-opel-akar-otomotiv-den-2012-opel-astra-enjoy-plus-hatasiz-boyasiz-875149339/detay;2012;142400;Siyah;129750;TL;2020-10-31;Balıkesir;Altıeylül
32;SİTE OTOMOTİVDEN 2013 OPEL ASTRA 1.6 ESSENTİA OTOMATİK 127000KM;https://www.sahibinden.com/ilan/vasita-otomobil-opel-site-otomotivden-opel-astra-1.6-essentia-konfor-otomatik-853635861/detay;2013;127000;Gümüş Gri;119750;TL;2020-10-31;Edirne;Merkez
33;HiKMOTORs 2001 ASTRA 1.6 EDiTiON SUNROOF+RECORE 187.000KM;https://www.sahibinden.com/ilan/vasita-otomobil-opel-hikmotors-2001-astra-1.6-edition-sunroof-plusrecore-187.000km-873953902/detay;2001;187000;Gümüş Gri;81000;TL;2020-10-31;Kütahya;Merkez
34;3 boya 1 değişen 184 binde orijinal;https://www.sahibinden.com/ilan/vasita-otomobil-opel-3-boya-1-degisen-184-binde-orijinal-875144546/detay;2006;184000;Gri;98000;TL;2020-10-31;İzmir;Çiğli
35;İLK SAHİBİNDEN.! EXTRA FULL BAKIMLI.! MASRAFSIZ.!;https://www.sahibinden.com/ilan/vasita-otomobil-opel-ilk-sahibinden-extra-full-bakimli-masrafsiz-843861036/detay;2012;148000;Gri;136000;TL;2020-10-31;Kocaeli;Körfez
36;2006 Opel Astra;https://www.sahibinden.com/ilan/vasita-otomobil-opel-2006-opel-astra-875146714/detay;2006;304000;Beyaz;59999;TL;2020-10-31;Kayseri;Develi
37;2018 MODEL OPEL ASTRA 1.6 EDİTİON PLUS KM 39.000 BOYASIZ;https://www.sahibinden.com/ilan/vasita-otomobil-opel-2018-model-opel-astra-1.6-edition-plus-km-39.000-boyasiz-875149089/detay;2018;39000;Beyaz;167500;TL;2020-10-31;Adıyaman;Merkez
38;2017 MODEL ORJİNAL HATASIZ EDİTİON PLUS LPG Lİ;https://www.sahibinden.com/ilan/vasita-otomobil-opel-2017-model-orjinal-hatasiz-edition-plus-lpg-li-875147398/detay;2017;85000;Mavi;161750;TL;2020-10-31;Tekirdağ;Çerkezköy
39;2016 DÜŞÜK KM DİZEL OTOMATİK;https://www.sahibinden.com/ilan/vasita-otomobil-opel-2016-dusuk-km-dizel-otomatik-875148038/detay;2016;95000;Beyaz;171000;TL;2020-10-31;Şanlıurfa;Eyyübiye
40;OPEL ASTRA 1,6 115GB EDİTİON PLUS 36,000KM HATASIZ;https://www.sahibinden.com/ilan/vasita-otomobil-opel-opel-astra-1%2C6-115gb-edition-plus-36%2C000km-hatasiz-875021542/detay;2017;36000;Beyaz;162500;TL;2020-10-31;Tekirdağ;Çorlu
41;Full Orjinal Astra;https://www.sahibinden.com/ilan/vasita-otomobil-opel-full-orjinal-astra-875146987/detay;2005;175000;Gümüş Gri;65000;TL;2020-10-31;Sivas;Merkez
42;2016 MODEL OPEL ASTRA;https://www.sahibinden.com/ilan/vasita-otomobil-opel-2016-model-opel-astra-875084263/detay;2016;28500;Beyaz;174000;TL;2020-10-31;Van;İpekyolu
43;Opel Gerçek 2020 Astra 1.2 T Özel Seri 110Hp 1.455 KM BOYASIZ;https://www.sahibinden.com/ilan/vasita-otomobil-opel-opel-gercek-2020-astra-1.2-t-ozel-seri-110hp-1.455-km-boyasiz-875083166/detay;2020;1455;Mavi;215800;TL;2020-10-31;İstanbul;Beşiktaş
44;ERTAY'DAN 2018 ASTRA 1.6 23.000 KM'DE NAVİGASYON DOUBLE EKRAN;https://www.sahibinden.com/ilan/vasita-otomobil-opel-ertay-dan-2018-astra-1.6-23.000-km-de-navigasyon-double-ekran-875146524/detay;2018;23000;Füme;151500;TL;2020-10-31;Kayseri;Kocasinan
45;2020 Astra Sedan 1.4 T 140 Ed.pls Otom.+17JNT+Elk­trnikKontKlima;https://www.sahibinden.com/ilan/vasita-otomobil-opel-2020-astra-sedan-1.4-t-140-ed.pls-otom-plus17jnt-pluselktrnikkontklima-875146425/detay;2020;515;Gri;206500;TL;2020-10-31;İstanbul;Bağcılar
46;2016 otomatik 1.6 Dizel astraj Değişensiz boyasız hasar kayıtsız;https://www.sahibinden.com/ilan/vasita-otomobil-opel-2016-otomatik-1.6-dizel-astraj-degisensiz-boyasiz-hasar-kayitsiz-872035123/detay;2016;77200;Mavi;198750;TL;2020-10-31;İzmir;Karabağlar
47;OSCAR OTOMOTİV'DEN 2008 MODEL 1.6 OPEL ASTRA ENJOY LPG'Lİ;https://www.sahibinden.com/ilan/vasita-otomobil-opel-oscar-otomotiv-den-2008-model-1.6-opel-astra-enjoy-lpg-li-871919976/detay;2008;144000;Siyah;92500;TL;2020-10-31;Çanakkale;Çan
48;Sahibinden orjinal Kusursuz Araç Arıyanlara !!;https://www.sahibinden.com/ilan/vasita-otomobil-opel-sahibinden-orjinal-kusursuz-arac-ariyanlara-875137409/detay;2001;209000;Yeşil;71750;TL;2020-10-31;Karaman;Merkez
